filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CPHI,CPHI,1/31/2013,68901,63497,1.085106
CPHI,CPHI,1/15/2013,73970,83556,1.000000
CPHI,CPHI,12/31/2012,115399,239773,1.000000
CPHI,CPHI,12/14/2012,52655,161060,1.000000
CPHI,CPHI,11/30/2012,49482,125695,1.000000
CPHI,CPHI,11/15/2012,50487,103612,1.000000
CPHI,CPHI,10/31/2012,53590,20186,2.654810
CPHI,CPHI,10/15/2012,94044,42178,2.229693
CPHI,CPHI,9/28/2012,196005,58816,3.332512
CPHI,CPHI,9/14/2012,233219,12617,18.484505
CPHI,CPHI,8/31/2012,248452,39494,6.290880
CPHI,CPHI,8/15/2012,240277,32779,7.330211
CPHI,CPHI,7/31/2012,252462,20158,12.524159
CPHI,CPHI,7/13/2012,247874,37209,6.661668
CPHI,CPHI,6/29/2012,247767,38468,6.440860
CPHI,CPHI,6/15/2012,250321,42656,5.868366
CPHI,CPHI,5/31/2012,244541,38380,6.371574
CPHI,CPHI,5/15/2012,240014,49227,4.875658
CPHI,CPHI,4/30/2012,245670,37800,6.499206
CPHI,CPHI,4/13/2012,252450,224235,1.125828
CPHI,CPHI,3/30/2012,240974,37333,6.454718
CPHI,CPHI,3/15/2012,268832,68336,3.933973
CPHI,CPHI,2/29/2012,261921,32697,8.010551
CPHI,CPHI,2/15/2012,274586,62904,4.365160
