filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CQP,CQP,1/31/2013,341593,292312,1.168590
CQP,CQP,1/15/2013,357886,426568,1.000000
CQP,CQP,12/31/2012,214768,355188,1.000000
CQP,CQP,12/14/2012,265693,243608,1.090658
CQP,CQP,11/30/2012,262987,382599,1.000000
CQP,CQP,11/15/2012,149546,416978,1.000000
CQP,CQP,10/31/2012,155500,382486,1.000000
CQP,CQP,10/15/2012,167769,247410,1.000000
CQP,CQP,9/28/2012,226512,1143563,1.000000
CQP,CQP,9/14/2012,302870,94631,3.200537
CQP,CQP,8/31/2012,341880,103831,3.292658
CQP,CQP,8/15/2012,317667,93099,3.412142
CQP,CQP,7/31/2012,340588,138698,2.455609
CQP,CQP,7/13/2012,254972,139230,1.831301
CQP,CQP,6/29/2012,234331,126481,1.852697
CQP,CQP,6/15/2012,155378,294752,1.000000
CQP,CQP,5/31/2012,143593,183012,1.000000
CQP,CQP,5/15/2012,268768,245780,1.093531
CQP,CQP,4/30/2012,400106,396387,1.009382
CQP,CQP,4/13/2012,161449,202508,1.000000
CQP,CQP,3/30/2012,229934,272691,1.000000
CQP,CQP,3/15/2012,400148,280395,1.427087
CQP,CQP,2/29/2012,299432,392995,1.000000
CQP,CQP,2/15/2012,446820,240010,1.861672
