filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CRDC,CRDC,1/31/2013,77167,52844,1.460279
CRDC,CRDC,1/15/2013,86273,196240,1.000000
CRDC,CRDC,12/31/2012,40573,114511,1.000000
CRDC,CRDC,12/14/2012,32426,128540,1.000000
CRDC,CRDC,11/30/2012,42773,43945,1.000000
CRDC,CRDC,11/15/2012,52974,37785,1.401985
CRDC,CRDC,10/31/2012,44019,19575,2.248736
CRDC,CRDC,10/15/2012,42808,27119,1.578524
CRDC,CRDC,9/28/2012,44921,46477,1.000000
CRDC,CRDC,9/14/2012,48415,53505,1.000000
CRDC,CRDC,8/31/2012,52038,36368,1.430873
CRDC,CRDC,8/15/2012,49837,45052,1.106211
CRDC,CRDC,7/31/2012,58218,36558,1.592483
CRDC,CRDC,7/13/2012,52410,23717,2.209807
CRDC,CRDC,6/29/2012,55530,25127,2.209973
CRDC,CRDC,6/15/2012,52558,29733,1.767666
CRDC,CRDC,5/31/2012,66610,27977,2.380884
CRDC,CRDC,5/15/2012,59341,49800,1.191586
CRDC,CRDC,4/30/2012,84085,96308,1.000000
CRDC,CRDC,4/13/2012,66008,46658,1.414720
CRDC,CRDC,3/30/2012,53629,68613,1.000000
CRDC,CRDC,3/15/2012,59860,61440,1.000000
CRDC,CRDC,2/29/2012,59306,139545,1.000000
CRDC,CRDC,2/15/2012,110579,126127,1.000000
