filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CREE,CREE,1/31/2013,15103413,3515704,4.295985
CREE,CREE,1/15/2013,15980921,1582682,10.097367
CREE,CREE,12/31/2012,16663220,1325893,12.567545
CREE,CREE,12/14/2012,17587369,1436423,12.243865
CREE,CREE,11/30/2012,17574313,1477001,11.898647
CREE,CREE,11/15/2012,17445957,1353914,12.885572
CREE,CREE,10/31/2012,17513013,2631079,6.656209
CREE,CREE,10/15/2012,16831190,1128980,14.908315
CREE,CREE,9/28/2012,17620398,1475400,11.942794
CREE,CREE,9/14/2012,18431264,1345722,13.696190
CREE,CREE,8/31/2012,17469323,1134876,15.393156
CREE,CREE,8/15/2012,17548679,1889128,9.289301
CREE,CREE,7/31/2012,17326243,1736860,9.975613
CREE,CREE,7/13/2012,18445943,1720122,10.723625
CREE,CREE,6/29/2012,19291191,2432577,7.930352
CREE,CREE,6/15/2012,20337166,2599159,7.824518
CREE,CREE,5/31/2012,22306317,4223583,5.281373
CREE,CREE,5/15/2012,24230108,3142488,7.710485
CREE,CREE,4/30/2012,22098953,3701970,5.969512
CREE,CREE,4/13/2012,18537471,3310364,5.599829
CREE,CREE,3/30/2012,16975187,2685894,6.320125
CREE,CREE,3/15/2012,16683261,2832447,5.890052
CREE,CREE,2/29/2012,15231720,3376741,4.510775
CREE,CREE,2/15/2012,15240541,3231020,4.716944
