filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CRME,CRME,1/31/2013,65822,534713,1.000000
CRME,CRME,1/15/2013,119033,344951,1.000000
CRME,CRME,12/31/2012,73407,681313,1.000000
CRME,CRME,12/14/2012,73429,1486436,1.000000
CRME,CRME,11/30/2012,114574,172965,1.000000
CRME,CRME,11/15/2012,104504,234927,1.000000
CRME,CRME,10/31/2012,79183,280080,1.000000
CRME,CRME,10/15/2012,88908,298139,1.000000
CRME,CRME,9/28/2012,239576,1400875,1.000000
CRME,CRME,9/14/2012,187333,218801,1.000000
CRME,CRME,8/31/2012,184752,189683,1.000000
CRME,CRME,8/15/2012,205765,176035,1.168887
CRME,CRME,7/31/2012,266419,479558,1.000000
CRME,CRME,7/13/2012,231858,568774,1.000000
CRME,CRME,6/29/2012,217772,402111,1.000000
CRME,CRME,6/15/2012,197942,264068,1.000000
CRME,CRME,5/31/2012,255256,483595,1.000000
CRME,CRME,5/15/2012,520311,238701,2.179760
CRME,CRME,4/30/2012,505656,203056,2.490229
CRME,CRME,4/13/2012,595981,572108,1.041728
CRME,CRME,3/30/2012,752683,2461855,1.000000
CRME,CRME,3/15/2012,749039,122305,6.124353
CRME,CRME,2/29/2012,734565,121366,6.052478
CRME,CRME,2/15/2012,706306,103689,6.811774
