filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CRR,CRR,1/31/2013,4852667,333341,14.557666
CRR,CRR,1/15/2013,4570624,224041,20.400837
CRR,CRR,12/31/2012,4525493,214855,21.063010
CRR,CRR,12/14/2012,4643918,178882,25.960790
CRR,CRR,11/30/2012,4992602,181804,27.461453
CRR,CRR,11/15/2012,5358615,283361,18.910912
CRR,CRR,10/31/2012,5590429,474431,11.783440
CRR,CRR,10/15/2012,5710373,232754,24.533941
CRR,CRR,9/28/2012,5728999,425240,13.472390
CRR,CRR,9/14/2012,5869669,351858,16.681926
CRR,CRR,8/31/2012,5538027,217374,25.476952
CRR,CRR,8/15/2012,5439630,277199,19.623556
CRR,CRR,7/31/2012,5712707,657262,8.691674
CRR,CRR,7/13/2012,5646486,189882,29.736815
CRR,CRR,6/29/2012,5719078,367784,15.550100
CRR,CRR,6/15/2012,6077656,497732,12.210700
CRR,CRR,5/31/2012,6594358,330692,19.941087
CRR,CRR,5/15/2012,6521931,380498,17.140513
CRR,CRR,4/30/2012,7966995,887820,8.973660
CRR,CRR,4/13/2012,7099807,452734,15.682072
CRR,CRR,3/30/2012,6929536,591879,11.707690
CRR,CRR,3/15/2012,7367029,888546,8.291106
CRR,CRR,2/29/2012,6833630,825076,8.282425
CRR,CRR,2/15/2012,5780674,1484500,3.894021
