filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CRS,CRS,1/31/2013,768353,523105,1.468831
CRS,CRS,1/15/2013,714614,383214,1.864791
CRS,CRS,12/31/2012,880503,448617,1.962705
CRS,CRS,12/14/2012,913548,420961,2.170149
CRS,CRS,11/30/2012,1036215,466865,2.219517
CRS,CRS,11/15/2012,1010857,505242,2.000738
CRS,CRS,10/31/2012,999894,465073,2.149972
CRS,CRS,10/15/2012,1008480,355007,2.840733
CRS,CRS,9/28/2012,942746,391100,2.410499
CRS,CRS,9/14/2012,1052793,711548,1.479581
CRS,CRS,8/31/2012,1149108,273558,4.200601
CRS,CRS,8/15/2012,1154852,264318,4.369177
CRS,CRS,7/31/2012,1198009,447923,2.674587
CRS,CRS,7/13/2012,1082355,340491,3.178806
CRS,CRS,6/29/2012,952937,593211,1.606405
CRS,CRS,6/15/2012,920222,559248,1.645463
CRS,CRS,5/31/2012,961567,648447,1.482877
CRS,CRS,5/15/2012,1111005,439093,2.530227
CRS,CRS,4/30/2012,1058905,511173,2.071520
CRS,CRS,4/13/2012,1098251,633721,1.733020
CRS,CRS,3/30/2012,957667,438359,2.184664
CRS,CRS,3/15/2012,997233,471808,2.113642
CRS,CRS,2/29/2012,920782,427778,2.152476
CRS,CRS,2/15/2012,971532,350905,2.768647
