filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CSTE,CSTE,1/31/2013,41090,77585,1.000000
CSTE,CSTE,1/15/2013,37410,50782,1.000000
CSTE,CSTE,12/31/2012,72359,28751,2.516747
CSTE,CSTE,12/14/2012,87300,42392,2.059351
CSTE,CSTE,11/30/2012,118365,10551,11.218368
CSTE,CSTE,11/15/2012,101736,24899,4.085947
CSTE,CSTE,10/31/2012,100076,47707,2.097722
CSTE,CSTE,10/15/2012,76548,32052,2.388244
CSTE,CSTE,9/28/2012,63973,41389,1.545652
CSTE,CSTE,9/14/2012,50474,44396,1.136904
CSTE,CSTE,8/31/2012,17943,26522,1.000000
CSTE,CSTE,8/15/2012,8923,58641,1.000000
CSTE,CSTE,7/31/2012,8562,18696,1.000000
CSTE,CSTE,7/13/2012,8354,17688,1.000000
CSTE,CSTE,6/29/2012,5195,31110,1.000000
CSTE,CSTE,6/15/2012,10079,50015,1.000000
CSTE,CSTE,5/31/2012,9426,81485,1.000000
CSTE,CSTE,5/15/2012,11338,173429,1.000000
CSTE,CSTE,4/30/2012,7421,84237,1.000000
CSTE,CSTE,4/13/2012,9399,71555,1.000000
CSTE,CSTE,3/30/2012,6218,565730,1.000000
CSTE,CSTE,3/15/2012,,,
CSTE,CSTE,,,,
CSTE,CSTE,,,,
