filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CVX,CVX,1/31/2013,17743938,5780090,3.069838
CVX,CVX,1/15/2013,15413477,5587198,2.758713
CVX,CVX,12/31/2012,13541747,6606147,2.049871
CVX,CVX,12/14/2012,16119558,5937843,2.714716
CVX,CVX,11/30/2012,15816864,5723766,2.763367
CVX,CVX,11/15/2012,16396172,6471837,2.533465
CVX,CVX,10/31/2012,16582360,5687804,2.915424
CVX,CVX,10/15/2012,16235162,6598246,2.460527
CVX,CVX,9/28/2012,18676953,6714004,2.781791
CVX,CVX,9/14/2012,24009937,5641471,4.255971
CVX,CVX,8/31/2012,25411022,4232808,6.003349
CVX,CVX,8/15/2012,24809555,5655769,4.386593
CVX,CVX,7/31/2012,21881141,6885030,3.178075
CVX,CVX,7/13/2012,21427422,5741003,3.732348
CVX,CVX,6/29/2012,22405465,7868158,2.847612
CVX,CVX,6/15/2012,24289790,7145905,3.399120
CVX,CVX,5/31/2012,23707484,7102727,3.337800
CVX,CVX,5/15/2012,21853323,7640843,2.860067
CVX,CVX,4/30/2012,19750738,5660045,3.489502
CVX,CVX,4/13/2012,18529041,6339650,2.922723
CVX,CVX,3/30/2012,19469913,6705114,2.903741
CVX,CVX,3/15/2012,23040489,6657861,3.460644
CVX,CVX,2/29/2012,19830857,7163767,2.768216
CVX,CVX,2/15/2012,18022393,6047418,2.980180
