filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CYTXW,CYTXW,1/31/2013,160,3429,1.000000
CYTXW,CYTXW,1/15/2013,160,5455,1.000000
CYTXW,CYTXW,12/31/2012,3133,8141,1.000000
CYTXW,CYTXW,12/14/2012,554,5344,1.000000
CYTXW,CYTXW,11/30/2012,2681,6153,1.000000
CYTXW,CYTXW,11/15/2012,2831,2696,1.050074
CYTXW,CYTXW,10/31/2012,2577,3753,1.000000
CYTXW,CYTXW,10/15/2012,3203,7892,1.000000
CYTXW,CYTXW,9/28/2012,5327,18378,1.000000
CYTXW,CYTXW,9/14/2012,3957,23088,1.000000
CYTXW,CYTXW,8/31/2012,5752,22276,1.000000
CYTXW,CYTXW,8/15/2012,2200,3306,1.000000
CYTXW,CYTXW,7/31/2012,4655,1999,2.328664
CYTXW,CYTXW,7/13/2012,3911,3513,1.113293
CYTXW,CYTXW,6/29/2012,3453,4917,1.000000
CYTXW,CYTXW,6/15/2012,10021,2632,3.807371
CYTXW,CYTXW,5/31/2012,10421,1668,6.247602
CYTXW,CYTXW,5/15/2012,10121,1220,8.295902
CYTXW,CYTXW,4/30/2012,9595,1331,7.208866
CYTXW,CYTXW,4/13/2012,8995,1133,7.939100
CYTXW,CYTXW,3/30/2012,5895,1805,3.265928
CYTXW,CYTXW,3/15/2012,4844,1538,3.149545
CYTXW,CYTXW,2/29/2012,1734,787,2.203304
CYTXW,CYTXW,2/15/2012,1774,3076,1.000000
