filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
DCIN,DCIN,1/31/2013,3655,2089,1.749641
DCIN,DCIN,1/15/2013,3583,539,6.647495
DCIN,DCIN,12/31/2012,3273,1444,2.266620
DCIN,DCIN,12/14/2012,4136,6457,1.000000
DCIN,DCIN,11/30/2012,8455,4760,1.776261
DCIN,DCIN,11/15/2012,5839,2243,2.603210
DCIN,DCIN,10/31/2012,4485,4305,1.041812
DCIN,DCIN,10/15/2012,6290,16065,1.000000
DCIN,DCIN,9/28/2012,5897,14849,1.000000
DCIN,DCIN,9/14/2012,3404,2411,1.411862
DCIN,DCIN,8/31/2012,2554,1350,1.891852
DCIN,DCIN,8/15/2012,2924,1234,2.369530
DCIN,DCIN,7/31/2012,4451,2839,1.567806
DCIN,DCIN,7/13/2012,4761,5833,1.000000
DCIN,DCIN,6/29/2012,4615,4739,1.000000
DCIN,DCIN,6/15/2012,4889,2296,2.129355
DCIN,DCIN,5/31/2012,5430,7803,1.000000
DCIN,DCIN,5/15/2012,2043,16891,1.000000
DCIN,DCIN,4/30/2012,2887,52134,1.000000
DCIN,DCIN,4/13/2012,,,
DCIN,DCIN,,,,
DCIN,DCIN,,,,
DCIN,DCIN,,,,
DCIN,DCIN,,,,
