filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
DEST,DEST,1/31/2013,324457,84840,3.824340
DEST,DEST,1/15/2013,305470,59094,5.169222
DEST,DEST,12/31/2012,308418,74420,4.144289
DEST,DEST,12/14/2012,373318,62574,5.966024
DEST,DEST,11/30/2012,381159,53102,7.177865
DEST,DEST,11/15/2012,320472,49826,6.431823
DEST,DEST,10/31/2012,303714,40001,7.592660
DEST,DEST,10/15/2012,299144,60604,4.936044
DEST,DEST,9/28/2012,310601,82343,3.772039
DEST,DEST,9/14/2012,388657,62058,6.262803
DEST,DEST,8/31/2012,406203,70296,5.778465
DEST,DEST,8/15/2012,461259,114404,4.031843
DEST,DEST,7/31/2012,497791,111921,4.447700
DEST,DEST,7/13/2012,535678,269836,1.985198
DEST,DEST,6/29/2012,839779,180919,4.641740
DEST,DEST,6/15/2012,729499,206078,3.539917
DEST,DEST,5/31/2012,407536,203607,2.001581
DEST,DEST,5/15/2012,414491,99022,4.185848
DEST,DEST,4/30/2012,404332,43601,9.273457
DEST,DEST,4/13/2012,402386,68932,5.837434
DEST,DEST,3/30/2012,405437,40212,10.082488
DEST,DEST,3/15/2012,465047,63664,7.304709
DEST,DEST,2/29/2012,433312,84719,5.114697
DEST,DEST,2/15/2012,450582,58373,7.719014
