filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
DL,DL,1/31/2013,19623,20496,1.000000
DL,DL,1/15/2013,9137,17752,1.000000
DL,DL,12/31/2012,11182,16082,1.000000
DL,DL,12/14/2012,8750,25312,1.000000
DL,DL,11/30/2012,7462,15862,1.000000
DL,DL,11/15/2012,1731,3190,1.000000
DL,DL,10/31/2012,3016,1599,1.886179
DL,DL,10/15/2012,5807,5162,1.124952
DL,DL,9/28/2012,15586,4028,3.869414
DL,DL,9/14/2012,3766,6403,1.000000
DL,DL,8/31/2012,5759,7491,1.000000
DL,DL,8/15/2012,4500,20916,1.000000
DL,DL,7/31/2012,3965,1660,2.388554
DL,DL,7/13/2012,4294,2473,1.736353
DL,DL,6/29/2012,5475,15948,1.000000
DL,DL,6/15/2012,3256,22841,1.000000
DL,DL,5/31/2012,1774,7706,1.000000
DL,DL,5/15/2012,4725,9835,1.000000
DL,DL,4/30/2012,1913,7968,1.000000
DL,DL,4/13/2012,5182,4130,1.254722
DL,DL,3/30/2012,5042,5565,1.000000
DL,DL,3/15/2012,4401,15550,1.000000
DL,DL,2/29/2012,7455,5832,1.278292
DL,DL,2/15/2012,5296,16494,1.000000
