filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
DRAM,DRAM,1/31/2013,12036,12189,1.000000
DRAM,DRAM,1/15/2013,8081,11822,1.000000
DRAM,DRAM,12/31/2012,18054,52232,1.000000
DRAM,DRAM,12/14/2012,10520,23721,1.000000
DRAM,DRAM,11/30/2012,9320,7744,1.203512
DRAM,DRAM,11/15/2012,10439,9880,1.056579
DRAM,DRAM,10/31/2012,8920,3856,2.313278
DRAM,DRAM,10/15/2012,9547,4910,1.944399
DRAM,DRAM,9/28/2012,11887,12887,1.000000
DRAM,DRAM,9/14/2012,16151,26371,1.000000
DRAM,DRAM,8/31/2012,11236,2251,4.991559
DRAM,DRAM,8/15/2012,13131,5317,2.469626
DRAM,DRAM,7/31/2012,20316,2312,8.787197
DRAM,DRAM,7/13/2012,27128,9289,2.920444
DRAM,DRAM,6/29/2012,32207,4008,8.035679
DRAM,DRAM,6/15/2012,34212,5333,6.415151
DRAM,DRAM,5/31/2012,35599,11027,3.228349
DRAM,DRAM,5/15/2012,37859,17331,2.184467
DRAM,DRAM,4/30/2012,16501,14540,1.134869
DRAM,DRAM,4/13/2012,18813,38649,1.000000
DRAM,DRAM,3/30/2012,16032,12357,1.297402
DRAM,DRAM,3/15/2012,20776,9643,2.154516
DRAM,DRAM,2/29/2012,18240,7005,2.603854
DRAM,DRAM,2/15/2012,18464,6507,2.837560
