filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
DTSI,DTSI,1/31/2013,1294945,52480,24.675019
DTSI,DTSI,1/15/2013,1308770,60551,21.614342
DTSI,DTSI,12/31/2012,1359474,113862,11.939664
DTSI,DTSI,12/14/2012,1436364,73262,19.605853
DTSI,DTSI,11/30/2012,1477692,142583,10.363732
DTSI,DTSI,11/15/2012,1403409,335296,4.185582
DTSI,DTSI,10/31/2012,1506501,70174,21.468079
DTSI,DTSI,10/15/2012,1685292,56269,29.950630
DTSI,DTSI,9/28/2012,1827888,101356,18.034334
DTSI,DTSI,9/14/2012,1902594,117915,16.135301
DTSI,DTSI,8/31/2012,1949403,65239,29.880945
DTSI,DTSI,8/15/2012,1924328,146754,13.112610
DTSI,DTSI,7/31/2012,2086425,312674,6.672845
DTSI,DTSI,7/13/2012,2297384,79343,28.955094
DTSI,DTSI,6/29/2012,2353544,100674,23.377873
DTSI,DTSI,6/15/2012,2504670,109865,22.797706
DTSI,DTSI,5/31/2012,2524293,84926,29.723442
DTSI,DTSI,5/15/2012,2329339,151023,15.423737
DTSI,DTSI,4/30/2012,2296890,114525,20.055796
DTSI,DTSI,4/13/2012,2098390,130764,16.047154
DTSI,DTSI,3/30/2012,1935532,132290,14.630977
DTSI,DTSI,3/15/2012,1808328,171718,10.530800
DTSI,DTSI,2/29/2012,1822078,188202,9.681502
DTSI,DTSI,2/15/2012,1951948,77150,25.300687
