filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
DVM,DVM,1/31/2013,4969,47836,1.000000
DVM,DVM,1/15/2013,131617,51126,2.574365
DVM,DVM,12/31/2012,146996,53999,2.722199
DVM,DVM,12/14/2012,124204,41319,3.005978
DVM,DVM,11/30/2012,128643,37076,3.469711
DVM,DVM,11/15/2012,122875,53015,2.317740
DVM,DVM,10/31/2012,119640,41280,2.898256
DVM,DVM,10/15/2012,135886,38306,3.547382
DVM,DVM,9/28/2012,138960,59569,2.332757
DVM,DVM,9/14/2012,130495,36713,3.554463
DVM,DVM,8/31/2012,123088,56744,2.169181
DVM,DVM,8/15/2012,117631,36632,3.211154
DVM,DVM,7/31/2012,123822,45399,2.727417
DVM,DVM,7/13/2012,121871,53568,2.275071
DVM,DVM,6/29/2012,145340,56447,2.574805
DVM,DVM,6/15/2012,127648,41659,3.064116
DVM,DVM,5/31/2012,124279,41073,3.025808
DVM,DVM,5/15/2012,123161,33180,3.711905
DVM,DVM,4/30/2012,132465,35428,3.738992
DVM,DVM,4/13/2012,128569,35116,3.661266
DVM,DVM,3/30/2012,127377,36706,3.470196
DVM,DVM,3/15/2012,122061,36126,3.378758
DVM,DVM,2/29/2012,118100,35122,3.362565
DVM,DVM,2/15/2012,120354,37213,3.234192
