filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
DVR,DVR,1/31/2013,18329788,1581616,11.589278
DVR,DVR,1/15/2013,16342001,746436,21.893372
DVR,DVR,12/31/2012,15604743,765700,20.379709
DVR,DVR,12/14/2012,15911233,628227,25.327203
DVR,DVR,11/30/2012,16282049,685797,23.741791
DVR,DVR,11/15/2012,16003939,1794479,8.918432
DVR,DVR,10/31/2012,15345714,1473077,10.417455
DVR,DVR,10/15/2012,15593753,2239902,6.961801
DVR,DVR,9/28/2012,15058647,1615521,9.321233
DVR,DVR,9/14/2012,14459374,1232005,11.736457
DVR,DVR,8/31/2012,14260040,764247,18.658941
DVR,DVR,8/15/2012,14285935,1069762,13.354312
DVR,DVR,7/31/2012,14318322,1514614,9.453446
DVR,DVR,7/13/2012,8189190,3773392,2.170246
DVR,DVR,6/29/2012,8512773,682814,12.467192
DVR,DVR,6/15/2012,8315315,661914,12.562531
DVR,DVR,5/31/2012,8089286,597888,13.529768
DVR,DVR,5/15/2012,7503886,1100512,6.818541
DVR,DVR,4/30/2012,6768023,733135,9.231619
DVR,DVR,4/13/2012,6414673,968591,6.622685
DVR,DVR,3/30/2012,6007886,690125,8.705504
DVR,DVR,3/15/2012,6522919,1162247,5.612335
DVR,DVR,2/29/2012,5786891,1093498,5.292091
DVR,DVR,2/15/2012,5589858,820731,6.810828
