filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
EMMSP,EMMSP,1/31/2013,163,0.000000,
EMMSP,EMMSP,1/15/2013,200,217,1.000000
EMMSP,EMMSP,12/31/2012,467,0.000000,
EMMSP,EMMSP,12/14/2012,70,0.000000,
EMMSP,EMMSP,11/30/2012,89,420,1.000000
EMMSP,EMMSP,11/15/2012,189,415,1.000000
EMMSP,EMMSP,10/31/2012,269,1114,1.000000
EMMSP,EMMSP,10/15/2012,89,223,1.000000
EMMSP,EMMSP,9/28/2012,89,781,1.000000
EMMSP,EMMSP,9/14/2012,352,7753,1.000000
EMMSP,EMMSP,8/31/2012,815,390,2.089744
EMMSP,EMMSP,8/15/2012,300,79,3.797468
EMMSP,EMMSP,7/31/2012,,,
EMMSP,EMMSP,7/13/2012,,,
EMMSP,EMMSP,6/29/2012,8,0.000000,
EMMSP,EMMSP,6/15/2012,72,0.000000,
EMMSP,EMMSP,5/31/2012,2,27,1.000000
EMMSP,EMMSP,5/15/2012,3,892,1.000000
EMMSP,EMMSP,4/30/2012,,,
EMMSP,EMMSP,4/13/2012,1,0.000000,
EMMSP,EMMSP,3/30/2012,168,0.000000,
EMMSP,EMMSP,3/15/2012,25,175,1.000000
EMMSP,EMMSP,2/29/2012,125,,
EMMSP,EMMSP,2/15/2012,125,203,1.000000
