filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
EXLP,EXLP,1/31/2013,282329,124690,2.264247
EXLP,EXLP,1/15/2013,289922,162307,1.786257
EXLP,EXLP,12/31/2012,244076,137865,1.770399
EXLP,EXLP,12/14/2012,284797,167913,1.696099
EXLP,EXLP,11/30/2012,226467,67069,3.376627
EXLP,EXLP,11/15/2012,241709,85234,2.835828
EXLP,EXLP,10/31/2012,226871,83189,2.727175
EXLP,EXLP,10/15/2012,274755,103771,2.647705
EXLP,EXLP,9/28/2012,271375,88118,3.079677
EXLP,EXLP,9/14/2012,283144,112762,2.510988
EXLP,EXLP,8/31/2012,313503,77674,4.036138
EXLP,EXLP,8/15/2012,369180,107157,3.445225
EXLP,EXLP,7/31/2012,324301,78132,4.150681
EXLP,EXLP,7/13/2012,317050,79528,3.986646
EXLP,EXLP,6/29/2012,303092,133452,2.271169
EXLP,EXLP,6/15/2012,603801,322791,1.870563
EXLP,EXLP,5/31/2012,371043,88801,4.178365
EXLP,EXLP,5/15/2012,355998,140116,2.540738
EXLP,EXLP,4/30/2012,340801,123578,2.757781
EXLP,EXLP,4/13/2012,324373,86597,3.745776
EXLP,EXLP,3/30/2012,359785,176752,2.035536
EXLP,EXLP,3/15/2012,337220,214294,1.573632
EXLP,EXLP,2/29/2012,300180,419267,1.000000
EXLP,EXLP,2/15/2012,270670,167786,1.613186
