filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
FCAL,FCAL,1/31/2013,442021,81244,5.440660
FCAL,FCAL,1/15/2013,473248,86300,5.483754
FCAL,FCAL,12/31/2012,517221,98104,5.272170
FCAL,FCAL,12/14/2012,633504,115165,5.500838
FCAL,FCAL,11/30/2012,629226,264101,2.382520
FCAL,FCAL,11/15/2012,653693,473950,1.379245
FCAL,FCAL,10/31/2012,638015,56514,11.289503
FCAL,FCAL,10/15/2012,652349,66405,9.823793
FCAL,FCAL,9/28/2012,737180,92787,7.944863
FCAL,FCAL,9/14/2012,899337,127849,7.034369
FCAL,FCAL,8/31/2012,899799,139598,6.445644
FCAL,FCAL,8/15/2012,939941,115247,8.155883
FCAL,FCAL,7/31/2012,1023103,69814,14.654697
FCAL,FCAL,7/13/2012,1038929,77360,13.429796
FCAL,FCAL,6/29/2012,1154579,438342,2.633968
FCAL,FCAL,6/15/2012,230248,102923,2.237090
FCAL,FCAL,5/31/2012,52625,256427,1.000000
FCAL,FCAL,5/15/2012,28312,207095,1.000000
FCAL,FCAL,4/30/2012,34180,43790,1.000000
FCAL,FCAL,4/13/2012,39935,112743,1.000000
FCAL,FCAL,3/30/2012,29579,140107,1.000000
FCAL,FCAL,3/15/2012,32926,141812,1.000000
FCAL,FCAL,2/29/2012,21415,75022,1.000000
FCAL,FCAL,2/15/2012,28341,184355,1.000000
