filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
FCBC,FCBC,1/31/2013,267721,29230,9.159117
FCBC,FCBC,1/15/2013,277317,34253,8.096138
FCBC,FCBC,12/31/2012,281271,39925,7.044984
FCBC,FCBC,12/14/2012,371848,26987,13.778782
FCBC,FCBC,11/30/2012,417600,30929,13.501891
FCBC,FCBC,11/15/2012,349912,52099,6.716290
FCBC,FCBC,10/31/2012,318057,30162,10.544957
FCBC,FCBC,10/15/2012,319343,23912,13.354926
FCBC,FCBC,9/28/2012,342802,38566,8.888710
FCBC,FCBC,9/14/2012,433276,41905,10.339482
FCBC,FCBC,8/31/2012,405767,41235,9.840354
FCBC,FCBC,8/15/2012,422059,30272,13.942224
FCBC,FCBC,7/31/2012,450419,49848,9.035849
FCBC,FCBC,7/13/2012,537630,54330,9.895638
FCBC,FCBC,6/29/2012,569436,64874,8.777569
FCBC,FCBC,6/15/2012,585062,42444,13.784328
FCBC,FCBC,5/31/2012,575661,35681,16.133544
FCBC,FCBC,5/15/2012,528605,41192,12.832710
FCBC,FCBC,4/30/2012,517012,28684,18.024404
FCBC,FCBC,4/13/2012,472044,48825,9.668080
FCBC,FCBC,3/30/2012,442487,42276,10.466624
FCBC,FCBC,3/15/2012,431876,53978,8.000963
FCBC,FCBC,2/29/2012,381829,34222,11.157413
FCBC,FCBC,2/15/2012,370052,41138,8.995381
