filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
FFCO,FFCO,1/31/2013,2191,5619,1.000000
FFCO,FFCO,1/15/2013,4375,1871,2.338322
FFCO,FFCO,12/31/2012,3646,13456,1.000000
FFCO,FFCO,12/14/2012,3313,10602,1.000000
FFCO,FFCO,11/30/2012,2892,3808,1.000000
FFCO,FFCO,11/15/2012,2681,13731,1.000000
FFCO,FFCO,10/31/2012,2496,1965,1.270229
FFCO,FFCO,10/15/2012,2296,393,5.842239
FFCO,FFCO,9/28/2012,3174,2191,1.448654
FFCO,FFCO,9/14/2012,2583,1188,2.174242
FFCO,FFCO,8/31/2012,2341,1022,2.290607
FFCO,FFCO,8/15/2012,2341,1540,1.520130
FFCO,FFCO,7/31/2012,1937,499,3.881764
FFCO,FFCO,7/13/2012,1525,668,2.282934
FFCO,FFCO,6/29/2012,1612,713,2.260870
FFCO,FFCO,6/15/2012,2321,2961,1.000000
FFCO,FFCO,5/31/2012,1147,2813,1.000000
FFCO,FFCO,5/15/2012,1215,1937,1.000000
FFCO,FFCO,4/30/2012,1624,2005,1.000000
FFCO,FFCO,4/13/2012,1806,826,2.186441
FFCO,FFCO,3/30/2012,1850,2170,1.000000
FFCO,FFCO,3/15/2012,6145,25337,1.000000
FFCO,FFCO,2/29/2012,1676,1320,1.269697
FFCO,FFCO,2/15/2012,2233,1417,1.575865
