filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
FFN,FFN,1/31/2013,989421,61553,16.074294
FFN,FFN,1/15/2013,912450,143424,6.361906
FFN,FFN,12/31/2012,921917,84057,10.967760
FFN,FFN,12/14/2012,961485,63668,15.101542
FFN,FFN,11/30/2012,988840,50831,19.453483
FFN,FFN,11/15/2012,940294,72285,13.008148
FFN,FFN,10/31/2012,912516,78892,11.566648
FFN,FFN,10/15/2012,1040349,54561,19.067631
FFN,FFN,9/28/2012,1053226,212844,4.948347
FFN,FFN,9/14/2012,1175203,179233,6.556845
FFN,FFN,8/31/2012,1273906,86120,14.792220
FFN,FFN,8/15/2012,1477485,72618,20.345989
FFN,FFN,7/31/2012,1689128,78389,21.548023
FFN,FFN,7/13/2012,1835007,101297,18.115117
FFN,FFN,6/29/2012,2026547,276477,7.329894
FFN,FFN,6/15/2012,2366865,258316,9.162673
FFN,FFN,5/31/2012,2436892,2425616,1.004649
FFN,FFN,5/15/2012,2299305,532429,4.318519
FFN,FFN,4/30/2012,2191740,377811,5.801155
FFN,FFN,4/13/2012,2293264,600925,3.816223
FFN,FFN,3/30/2012,2306629,559411,4.123317
FFN,FFN,3/15/2012,2011601,546240,3.682632
FFN,FFN,2/29/2012,1849848,699922,2.642934
FFN,FFN,2/15/2012,1938158,1794856,1.079840
