filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
GTAT,GTAT,1/31/2013,36358891,2032996,17.884389
GTAT,GTAT,1/15/2013,36381134,3517105,10.344057
GTAT,GTAT,12/31/2012,35717570,4346111,8.218283
GTAT,GTAT,12/14/2012,38050165,4100818,9.278677
GTAT,GTAT,11/30/2012,37659783,2467840,15.260221
GTAT,GTAT,11/15/2012,37692025,4351972,8.660907
GTAT,GTAT,10/31/2012,35685746,3102389,11.502666
GTAT,GTAT,10/15/2012,35112302,2848359,12.327204
GTAT,GTAT,9/28/2012,34249342,6224085,5.502711
GTAT,GTAT,9/14/2012,28460501,3811618,7.466777
GTAT,GTAT,8/31/2012,27696310,3932594,7.042759
GTAT,GTAT,8/15/2012,29184418,2021828,14.434669
GTAT,GTAT,7/31/2012,28063808,1623966,17.281032
GTAT,GTAT,7/13/2012,29173346,1902909,15.330920
GTAT,GTAT,6/29/2012,27098515,2435918,11.124560
GTAT,GTAT,6/15/2012,27154641,2273497,11.943997
GTAT,GTAT,5/31/2012,27576875,3997859,6.897911
GTAT,GTAT,5/15/2012,23503496,3802108,6.181701
GTAT,GTAT,4/30/2012,20017885,2924692,6.844442
GTAT,GTAT,4/13/2012,17802884,2006451,8.872823
GTAT,GTAT,3/30/2012,16961906,2053172,8.261318
GTAT,GTAT,3/15/2012,18343617,2555728,7.177453
GTAT,GTAT,2/29/2012,18080118,2618204,6.905542
GTAT,GTAT,2/15/2012,16357913,2778773,5.886740
