filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
GTXI,GTXI,1/31/2013,2332066,139991,16.658685
GTXI,GTXI,1/15/2013,2188060,237172,9.225625
GTXI,GTXI,12/31/2012,2211350,85087,25.989282
GTXI,GTXI,12/14/2012,2350065,72997,32.193994
GTXI,GTXI,11/30/2012,2375834,58288,40.760259
GTXI,GTXI,11/15/2012,2347234,66785,35.146126
GTXI,GTXI,10/31/2012,2313713,78918,29.317938
GTXI,GTXI,10/15/2012,2373359,72357,32.800683
GTXI,GTXI,9/28/2012,2359889,181123,13.029207
GTXI,GTXI,9/14/2012,2509256,186527,13.452508
GTXI,GTXI,8/31/2012,2508292,68470,36.633445
GTXI,GTXI,8/15/2012,2553932,92678,27.557047
GTXI,GTXI,7/31/2012,2682981,110628,24.252278
GTXI,GTXI,7/13/2012,2783202,140275,19.841041
GTXI,GTXI,6/29/2012,2905725,229975,12.634960
GTXI,GTXI,6/15/2012,2763624,134286,20.580135
GTXI,GTXI,5/31/2012,2792597,159085,17.554119
GTXI,GTXI,5/15/2012,2897840,561787,5.158254
GTXI,GTXI,4/30/2012,2997871,221536,13.532207
GTXI,GTXI,4/13/2012,3087567,328087,9.410818
GTXI,GTXI,3/30/2012,2981173,401075,7.432956
GTXI,GTXI,3/15/2012,2991676,552472,5.415073
GTXI,GTXI,2/29/2012,3284661,1159286,2.833348
GTXI,GTXI,2/15/2012,3804007,700923,5.427140
