filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
HFFC,HFFC,1/31/2013,1082,8094,1.000000
HFFC,HFFC,1/15/2013,3037,13216,1.000000
HFFC,HFFC,12/31/2012,1159,22280,1.000000
HFFC,HFFC,12/14/2012,6538,7194,1.000000
HFFC,HFFC,11/30/2012,7983,4005,1.993258
HFFC,HFFC,11/15/2012,6499,5481,1.185733
HFFC,HFFC,10/31/2012,6397,2420,2.643388
HFFC,HFFC,10/15/2012,6305,11654,1.000000
HFFC,HFFC,9/28/2012,7083,3467,2.042977
HFFC,HFFC,9/14/2012,8912,2783,3.202300
HFFC,HFFC,8/31/2012,10244,2527,4.053819
HFFC,HFFC,8/15/2012,8304,3519,2.359761
HFFC,HFFC,7/31/2012,10477,3874,2.704440
HFFC,HFFC,7/13/2012,10084,3042,3.314924
HFFC,HFFC,6/29/2012,9921,1581,6.275142
HFFC,HFFC,6/15/2012,9844,2086,4.719080
HFFC,HFFC,5/31/2012,10827,4557,2.375905
HFFC,HFFC,5/15/2012,9655,1413,6.832979
HFFC,HFFC,4/30/2012,9237,2277,4.056653
HFFC,HFFC,4/13/2012,9489,2200,4.313182
HFFC,HFFC,3/30/2012,9384,3987,2.353649
HFFC,HFFC,3/15/2012,9209,9622,1.000000
HFFC,HFFC,2/29/2012,8365,7746,1.079912
HFFC,HFFC,2/15/2012,7818,4089,1.911959
