filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
HILL,HILL,1/31/2013,73658,167592,1.000000
HILL,HILL,1/15/2013,102122,150508,1.000000
HILL,HILL,12/31/2012,104161,109525,1.000000
HILL,HILL,12/14/2012,93691,49165,1.905644
HILL,HILL,11/30/2012,121527,81240,1.495901
HILL,HILL,11/15/2012,112663,73340,1.536174
HILL,HILL,10/31/2012,117494,100048,1.174376
HILL,HILL,10/15/2012,126533,102695,1.232124
HILL,HILL,9/28/2012,117856,105033,1.122085
HILL,HILL,9/14/2012,122881,95195,1.290835
HILL,HILL,8/31/2012,122538,117168,1.045832
HILL,HILL,8/15/2012,106350,162571,1.000000
HILL,HILL,7/31/2012,132077,91063,1.450391
HILL,HILL,7/13/2012,148911,99451,1.497330
HILL,HILL,6/29/2012,253746,958241,1.000000
HILL,HILL,6/15/2012,2653535,204125,12.999559
HILL,HILL,5/31/2012,2399352,109444,21.923102
HILL,HILL,5/15/2012,2237453,128726,17.381516
HILL,HILL,4/30/2012,2055541,115762,17.756613
HILL,HILL,4/13/2012,1806890,147550,12.245951
HILL,HILL,3/30/2012,1625542,192646,8.437974
HILL,HILL,3/15/2012,1559074,153130,10.181375
HILL,HILL,2/29/2012,1441608,78706,18.316367
HILL,HILL,2/15/2012,1450345,139042,10.430985
