filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
HOLX,HOLX,1/31/2013,9630352,2109567,4.565085
HOLX,HOLX,1/15/2013,9954345,3117008,3.193558
HOLX,HOLX,12/31/2012,8397010,1685273,4.982581
HOLX,HOLX,12/14/2012,7834229,3290258,2.381038
HOLX,HOLX,11/30/2012,6737482,3504818,1.922349
HOLX,HOLX,11/15/2012,6242497,3044789,2.050223
HOLX,HOLX,10/31/2012,8284746,2273184,3.644556
HOLX,HOLX,10/15/2012,9517812,2479745,3.838222
HOLX,HOLX,9/28/2012,7763963,2248006,3.453711
HOLX,HOLX,9/14/2012,7285623,2235068,3.259687
HOLX,HOLX,8/31/2012,6971893,1264990,5.511421
HOLX,HOLX,8/15/2012,6925742,2107237,3.286646
HOLX,HOLX,7/31/2012,8866824,2588843,3.425014
HOLX,HOLX,7/13/2012,7243012,2607733,2.777513
HOLX,HOLX,6/29/2012,6889812,3441832,2.001786
HOLX,HOLX,6/15/2012,8610830,2893066,2.976368
HOLX,HOLX,5/31/2012,9192690,3701199,2.483706
HOLX,HOLX,5/15/2012,7992959,6695649,1.193754
HOLX,HOLX,4/30/2012,6263684,3967597,1.578710
HOLX,HOLX,4/13/2012,6155930,2279140,2.700988
HOLX,HOLX,3/30/2012,5285576,1744437,3.029961
HOLX,HOLX,3/15/2012,4798947,2064302,2.324731
HOLX,HOLX,2/29/2012,3482677,1754085,1.985466
HOLX,HOLX,2/15/2012,3196650,1878482,1.701720
