filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
HOTT,HOTT,1/31/2013,7263772,782202,9.286312
HOTT,HOTT,1/15/2013,6369646,813349,7.831381
HOTT,HOTT,12/31/2012,6290715,543389,11.576817
HOTT,HOTT,12/14/2012,6364479,504526,12.614769
HOTT,HOTT,11/30/2012,6425814,442502,14.521548
HOTT,HOTT,11/15/2012,6410997,889027,7.211251
HOTT,HOTT,10/31/2012,6450116,443991,14.527583
HOTT,HOTT,10/15/2012,6478908,527024,12.293383
HOTT,HOTT,9/28/2012,6576320,581861,11.302218
HOTT,HOTT,9/14/2012,6792516,708898,9.581796
HOTT,HOTT,8/31/2012,6715920,395232,16.992349
HOTT,HOTT,8/15/2012,7326469,667953,10.968540
HOTT,HOTT,7/31/2012,7134866,552326,12.917853
HOTT,HOTT,7/13/2012,7264316,493031,14.733994
HOTT,HOTT,6/29/2012,7566377,749815,10.090992
HOTT,HOTT,6/15/2012,5306769,991412,5.352738
HOTT,HOTT,5/31/2012,4600515,657545,6.996502
HOTT,HOTT,5/15/2012,4293561,602242,7.129295
HOTT,HOTT,4/30/2012,4127901,379251,10.884351
HOTT,HOTT,4/13/2012,3920677,468222,8.373543
HOTT,HOTT,3/30/2012,3568320,527470,6.764972
HOTT,HOTT,3/15/2012,3558720,887627,4.009252
HOTT,HOTT,2/29/2012,2921009,555036,5.262738
HOTT,HOTT,2/15/2012,2489350,306295,8.127296
