filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
IBCA,IBCA,1/31/2013,4830,207472,1.000000
IBCA,IBCA,1/15/2013,3076,16742,1.000000
IBCA,IBCA,12/31/2012,4549,44700,1.000000
IBCA,IBCA,12/14/2012,6619,17850,1.000000
IBCA,IBCA,11/30/2012,5982,17451,1.000000
IBCA,IBCA,11/15/2012,16237,19858,1.000000
IBCA,IBCA,10/31/2012,9493,24053,1.000000
IBCA,IBCA,10/15/2012,9225,31463,1.000000
IBCA,IBCA,9/28/2012,11922,19122,1.000000
IBCA,IBCA,9/14/2012,12643,48226,1.000000
IBCA,IBCA,8/31/2012,6323,14744,1.000000
IBCA,IBCA,8/15/2012,8164,5408,1.509615
IBCA,IBCA,7/31/2012,6293,20348,1.000000
IBCA,IBCA,7/13/2012,4826,11853,1.000000
IBCA,IBCA,6/29/2012,9346,16771,1.000000
IBCA,IBCA,6/15/2012,8965,15030,1.000000
IBCA,IBCA,5/31/2012,7182,38070,1.000000
IBCA,IBCA,5/15/2012,8309,33117,1.000000
IBCA,IBCA,4/30/2012,16806,52384,1.000000
IBCA,IBCA,4/13/2012,7295,15694,1.000000
IBCA,IBCA,3/30/2012,7509,28364,1.000000
IBCA,IBCA,3/15/2012,11950,60471,1.000000
IBCA,IBCA,2/29/2012,8514,33551,1.000000
IBCA,IBCA,2/15/2012,7751,34067,1.000000
