filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ICH,ICH,1/31/2013,6432,4100,1.568780
ICH,ICH,1/15/2013,2104,2860,1.000000
ICH,ICH,12/31/2012,3564,3735,1.000000
ICH,ICH,12/14/2012,4797,4410,1.087755
ICH,ICH,11/30/2012,6623,4706,1.407352
ICH,ICH,11/15/2012,8301,3186,2.605461
ICH,ICH,10/31/2012,3414,2005,1.702743
ICH,ICH,10/15/2012,3716,3636,1.022002
ICH,ICH,9/28/2012,10713,4004,2.675574
ICH,ICH,9/14/2012,11567,5499,2.103473
ICH,ICH,8/31/2012,9861,1704,5.786972
ICH,ICH,8/15/2012,11352,4722,2.404066
ICH,ICH,7/31/2012,12029,2829,4.252033
ICH,ICH,7/13/2012,8553,2804,3.050285
ICH,ICH,6/29/2012,9163,2821,3.248139
ICH,ICH,6/15/2012,8968,2133,4.204407
ICH,ICH,5/31/2012,7973,2205,3.615873
ICH,ICH,5/15/2012,9200,1515,6.072607
ICH,ICH,4/30/2012,6435,3035,2.120264
ICH,ICH,4/13/2012,11190,6249,1.790687
ICH,ICH,3/30/2012,11711,2590,4.521622
ICH,ICH,3/15/2012,9456,7900,1.196962
ICH,ICH,2/29/2012,5863,2232,2.626792
ICH,ICH,2/15/2012,6238,4426,1.409399
