filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
IDXX,IDXX,1/31/2013,3949716,566423,6.973085
IDXX,IDXX,1/15/2013,4400754,228447,19.263785
IDXX,IDXX,12/31/2012,4546996,291034,15.623590
IDXX,IDXX,12/14/2012,4615935,220722,20.912890
IDXX,IDXX,11/30/2012,4470833,302357,14.786603
IDXX,IDXX,11/15/2012,4503007,376310,11.966217
IDXX,IDXX,10/31/2012,4778845,273599,17.466603
IDXX,IDXX,10/15/2012,4798594,223811,21.440385
IDXX,IDXX,9/28/2012,4863126,329557,14.756555
IDXX,IDXX,9/14/2012,5294054,286383,18.485923
IDXX,IDXX,8/31/2012,5464744,236093,23.146574
IDXX,IDXX,8/15/2012,5673134,304317,18.642186
IDXX,IDXX,7/31/2012,5894141,453420,12.999296
IDXX,IDXX,7/13/2012,5664231,381715,14.838901
IDXX,IDXX,6/29/2012,5631979,405259,13.897234
IDXX,IDXX,6/15/2012,5141379,249246,20.627729
IDXX,IDXX,5/31/2012,5696804,269597,21.130814
IDXX,IDXX,5/15/2012,4277724,290123,14.744519
IDXX,IDXX,4/30/2012,3935363,397853,9.891500
IDXX,IDXX,4/13/2012,4088995,202937,20.149086
IDXX,IDXX,3/30/2012,4302052,245040,17.556530
IDXX,IDXX,3/15/2012,4472397,281857,15.867610
IDXX,IDXX,2/29/2012,4400580,278985,15.773536
IDXX,IDXX,2/15/2012,4669993,204185,22.871381
