filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
IFON,IFON,1/31/2013,3898,6739,1.000000
IFON,IFON,1/15/2013,4298,9770,1.000000
IFON,IFON,12/31/2012,5802,13289,1.000000
IFON,IFON,12/14/2012,5092,13976,1.000000
IFON,IFON,11/30/2012,5492,12463,1.000000
IFON,IFON,11/15/2012,1277,19300,1.000000
IFON,IFON,10/31/2012,2659,20465,1.000000
IFON,IFON,10/15/2012,422,11776,1.000000
IFON,IFON,9/28/2012,5352,13573,1.000000
IFON,IFON,9/14/2012,8360,19179,1.000000
IFON,IFON,8/31/2012,7681,31262,1.000000
IFON,IFON,8/15/2012,9226,60693,1.000000
IFON,IFON,7/31/2012,10424,30322,1.000000
IFON,IFON,7/13/2012,12915,20874,1.000000
IFON,IFON,6/29/2012,7431,34334,1.000000
IFON,IFON,6/15/2012,8070,35520,1.000000
IFON,IFON,5/31/2012,8485,25504,1.000000
IFON,IFON,5/15/2012,12679,328566,1.000000
IFON,IFON,4/30/2012,4573,7020,1.000000
IFON,IFON,4/13/2012,8719,18344,1.000000
IFON,IFON,3/30/2012,5527,21027,1.000000
IFON,IFON,3/15/2012,11010,59713,1.000000
IFON,IFON,2/29/2012,4658,40187,1.000000
IFON,IFON,2/15/2012,4558,28643,1.000000
