filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
INDB,INDB,1/31/2013,2453201,70822,34.638968
INDB,INDB,1/15/2013,2379226,68910,34.526571
INDB,INDB,12/31/2012,2474571,86795,28.510525
INDB,INDB,12/14/2012,2576029,61934,41.593131
INDB,INDB,11/30/2012,2664532,64340,41.413304
INDB,INDB,11/15/2012,2743974,58913,46.576715
INDB,INDB,10/31/2012,2884712,40284,71.609373
INDB,INDB,10/15/2012,2922383,31681,92.244026
INDB,INDB,9/28/2012,2948651,63818,46.204065
INDB,INDB,9/14/2012,2892264,52208,55.398866
INDB,INDB,8/31/2012,2874823,38411,74.843743
INDB,INDB,8/15/2012,2896995,46753,61.963831
INDB,INDB,7/31/2012,2847443,49294,57.764495
INDB,INDB,7/13/2012,2826618,51383,55.010762
INDB,INDB,6/29/2012,2831356,57901,48.899950
INDB,INDB,6/15/2012,2789502,80947,34.460845
INDB,INDB,5/31/2012,2817604,49858,56.512576
INDB,INDB,5/15/2012,2804612,49786,56.333347
INDB,INDB,4/30/2012,2743348,49758,55.133808
INDB,INDB,4/13/2012,2678073,61566,43.499220
INDB,INDB,3/30/2012,2652880,53183,49.882105
INDB,INDB,3/15/2012,2694564,55968,48.144726
INDB,INDB,2/29/2012,2711466,59694,45.422756
INDB,INDB,2/15/2012,2797796,71794,38.969775
