filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
INTT,INTT,1/31/2013,8199,8437,1.000000
INTT,INTT,1/15/2013,7356,4948,1.486661
INTT,INTT,12/31/2012,7293,6178,1.180479
INTT,INTT,12/14/2012,4392,12110,1.000000
INTT,INTT,11/30/2012,6568,16066,1.000000
INTT,INTT,11/15/2012,5242,10219,1.000000
INTT,INTT,10/31/2012,4278,11194,1.000000
INTT,INTT,10/15/2012,5110,23838,1.000000
INTT,INTT,9/28/2012,11873,5682,2.089581
INTT,INTT,9/14/2012,13489,9382,1.437753
INTT,INTT,8/31/2012,9952,10116,1.000000
INTT,INTT,8/15/2012,8470,25309,1.000000
INTT,INTT,7/31/2012,10518,16648,1.000000
INTT,INTT,7/13/2012,12096,21846,1.000000
INTT,INTT,6/29/2012,10087,10434,1.000000
INTT,INTT,6/15/2012,18017,17640,1.021372
INTT,INTT,5/31/2012,13055,19099,1.000000
INTT,INTT,5/15/2012,13523,34058,1.000000
INTT,INTT,4/30/2012,8309,20361,1.000000
INTT,INTT,4/13/2012,9793,35129,1.000000
INTT,INTT,3/30/2012,23342,43449,1.000000
INTT,INTT,3/15/2012,11724,57560,1.000000
INTT,INTT,2/29/2012,8329,31533,1.000000
INTT,INTT,2/15/2012,12356,30398,1.000000
