filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
IRDMZ,IRDMZ,1/31/2013,13710,103,133.106796
IRDMZ,IRDMZ,1/15/2013,15424,1439,10.718555
IRDMZ,IRDMZ,12/31/2012,15338,210,73.038095
IRDMZ,IRDMZ,12/14/2012,15338,51,300.745098
IRDMZ,IRDMZ,11/30/2012,15424,218,70.752294
IRDMZ,IRDMZ,11/15/2012,15469,327,47.305810
IRDMZ,IRDMZ,10/31/2012,15469,370,41.808108
IRDMZ,IRDMZ,10/15/2012,14332,1149,12.473455
IRDMZ,IRDMZ,9/28/2012,10993,1596,6.887845
IRDMZ,IRDMZ,9/14/2012,10732,100,107.320000
IRDMZ,IRDMZ,8/31/2012,10732,175,61.325714
IRDMZ,IRDMZ,8/15/2012,9932,469,21.176972
IRDMZ,IRDMZ,7/31/2012,10032,435,23.062069
IRDMZ,IRDMZ,7/13/2012,10332,1985,5.205038
IRDMZ,IRDMZ,6/29/2012,11940,18,663.333333
IRDMZ,IRDMZ,6/15/2012,11940,104,114.807692
IRDMZ,IRDMZ,5/31/2012,12239,246,49.752033
IRDMZ,IRDMZ,5/15/2012,12240,26,470.769231
IRDMZ,IRDMZ,4/30/2012,12140,370,32.810811
IRDMZ,IRDMZ,4/13/2012,11825,2096,5.641698
IRDMZ,IRDMZ,3/30/2012,13325,1586,8.401639
IRDMZ,IRDMZ,3/15/2012,12125,,
IRDMZ,IRDMZ,2/29/2012,12125,366,33.128415
IRDMZ,IRDMZ,2/15/2012,11825,552,21.422101
