filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ISRG,ISRG,1/31/2013,2275744,738020,3.083580
ISRG,ISRG,1/15/2013,2574292,320578,8.030158
ISRG,ISRG,12/31/2012,2677880,858285,3.120036
ISRG,ISRG,12/14/2012,2799781,260808,10.735027
ISRG,ISRG,11/30/2012,2872736,235676,12.189345
ISRG,ISRG,11/15/2012,2953270,303079,9.744225
ISRG,ISRG,10/31/2012,2817066,726680,3.876625
ISRG,ISRG,10/15/2012,2188697,394991,5.541131
ISRG,ISRG,9/28/2012,2075731,370847,5.597271
ISRG,ISRG,9/14/2012,1951645,310869,6.278030
ISRG,ISRG,8/31/2012,1881515,219172,8.584650
ISRG,ISRG,8/15/2012,1631703,289458,5.637098
ISRG,ISRG,7/31/2012,1459478,573641,2.544236
ISRG,ISRG,7/13/2012,1489335,313812,4.745947
ISRG,ISRG,6/29/2012,1353299,315011,4.296037
ISRG,ISRG,6/15/2012,1356692,322554,4.206093
ISRG,ISRG,5/31/2012,1014204,331215,3.062071
ISRG,ISRG,5/15/2012,977581,303418,3.221895
ISRG,ISRG,4/30/2012,975659,496109,1.966622
ISRG,ISRG,4/13/2012,980745,297035,3.301783
ISRG,ISRG,3/30/2012,965964,267116,3.616272
ISRG,ISRG,3/15/2012,1027873,283765,3.622268
ISRG,ISRG,2/29/2012,1003684,263406,3.810407
ISRG,ISRG,2/15/2012,1014421,486949,2.083218
