filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
KEQU,KEQU,1/31/2013,2520,3310,1.000000
KEQU,KEQU,1/15/2013,3735,3435,1.087336
KEQU,KEQU,12/31/2012,2628,3146,1.000000
KEQU,KEQU,12/14/2012,1526,5508,1.000000
KEQU,KEQU,11/30/2012,1710,6017,1.000000
KEQU,KEQU,11/15/2012,3817,2540,1.502756
KEQU,KEQU,10/31/2012,1200,1405,1.000000
KEQU,KEQU,10/15/2012,1061,2086,1.000000
KEQU,KEQU,9/28/2012,2336,3867,1.000000
KEQU,KEQU,9/14/2012,2171,9182,1.000000
KEQU,KEQU,8/31/2012,7047,18610,1.000000
KEQU,KEQU,8/15/2012,12647,18139,1.000000
KEQU,KEQU,7/31/2012,6623,26056,1.000000
KEQU,KEQU,7/13/2012,3979,57915,1.000000
KEQU,KEQU,6/29/2012,3143,22741,1.000000
KEQU,KEQU,6/15/2012,3084,1083,2.847645
KEQU,KEQU,5/31/2012,2350,1260,1.865079
KEQU,KEQU,5/15/2012,2269,527,4.305503
KEQU,KEQU,4/30/2012,2884,1213,2.377576
KEQU,KEQU,4/13/2012,2926,1739,1.682576
KEQU,KEQU,3/30/2012,2948,1562,1.887324
KEQU,KEQU,3/15/2012,2112,1308,1.614679
KEQU,KEQU,2/29/2012,2072,6197,1.000000
KEQU,KEQU,2/15/2012,2757,4922,1.000000
