filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
KEYN,KEYN,1/31/2013,427048,91534,4.665458
KEYN,KEYN,1/15/2013,437103,80508,5.429311
KEYN,KEYN,12/31/2012,429237,68280,6.286424
KEYN,KEYN,12/14/2012,517244,44347,11.663562
KEYN,KEYN,11/30/2012,545188,46109,11.823896
KEYN,KEYN,11/15/2012,497690,70614,7.048036
KEYN,KEYN,10/31/2012,467792,59697,7.836106
KEYN,KEYN,10/15/2012,491078,48220,10.184114
KEYN,KEYN,9/28/2012,518346,67961,7.627110
KEYN,KEYN,9/14/2012,606643,81891,7.407932
KEYN,KEYN,8/31/2012,612623,40821,15.007545
KEYN,KEYN,8/15/2012,616925,61568,10.020222
KEYN,KEYN,7/31/2012,652570,42065,15.513372
KEYN,KEYN,7/13/2012,662641,59267,11.180606
KEYN,KEYN,6/29/2012,691563,171621,4.029594
KEYN,KEYN,6/15/2012,669968,88748,7.549105
KEYN,KEYN,5/31/2012,662569,106469,6.223117
KEYN,KEYN,5/15/2012,673300,243438,2.765797
KEYN,KEYN,4/30/2012,758287,85821,8.835681
KEYN,KEYN,4/13/2012,755654,99009,7.632175
KEYN,KEYN,3/30/2012,754472,118404,6.372014
KEYN,KEYN,3/15/2012,819438,112815,7.263555
KEYN,KEYN,2/29/2012,767285,96366,7.962196
KEYN,KEYN,2/15/2012,725107,218038,3.325599
