filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
KUTV,KUTV,1/31/2013,8491,15259,1.000000
KUTV,KUTV,1/15/2013,15235,26761,1.000000
KUTV,KUTV,12/31/2012,23559,21003,1.121697
KUTV,KUTV,12/14/2012,28273,23285,1.214215
KUTV,KUTV,11/30/2012,32322,12510,2.583693
KUTV,KUTV,11/15/2012,31649,73810,1.000000
KUTV,KUTV,10/31/2012,35812,20742,1.726545
KUTV,KUTV,10/15/2012,44119,13318,3.312735
KUTV,KUTV,9/28/2012,48015,19342,2.482422
KUTV,KUTV,9/14/2012,58647,37074,1.581890
KUTV,KUTV,8/31/2012,80763,13323,6.061923
KUTV,KUTV,8/15/2012,103003,13075,7.877859
KUTV,KUTV,7/31/2012,141198,19869,7.106447
KUTV,KUTV,7/13/2012,165634,25408,6.518970
KUTV,KUTV,6/29/2012,186389,32968,5.653634
KUTV,KUTV,6/15/2012,245172,37720,6.499788
KUTV,KUTV,5/31/2012,275342,99384,2.770486
KUTV,KUTV,5/15/2012,266688,45702,5.835368
KUTV,KUTV,4/30/2012,274887,46244,5.944274
KUTV,KUTV,4/13/2012,277978,110321,2.519720
KUTV,KUTV,3/30/2012,236785,197742,1.197444
KUTV,KUTV,3/15/2012,213039,603711,1.000000
KUTV,KUTV,2/29/2012,183434,168766,1.086913
KUTV,KUTV,2/15/2012,184262,509429,1.000000
