filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
KYAK,KYAK,1/31/2013,116694,83468,1.398069
KYAK,KYAK,1/15/2013,126012,42366,2.974366
KYAK,KYAK,12/31/2012,146782,93604,1.568117
KYAK,KYAK,12/14/2012,157534,95349,1.652183
KYAK,KYAK,11/30/2012,147640,166331,1.000000
KYAK,KYAK,11/15/2012,226988,412342,1.000000
KYAK,KYAK,10/31/2012,1336106,66869,19.980948
KYAK,KYAK,10/15/2012,1409952,134963,10.446952
KYAK,KYAK,9/28/2012,1262146,177515,7.110081
KYAK,KYAK,9/14/2012,1412069,112846,12.513239
KYAK,KYAK,8/31/2012,1435642,260829,5.504150
KYAK,KYAK,8/15/2012,369311,117897,3.132489
KYAK,KYAK,7/31/2012,244894,855305,1.000000
KYAK,KYAK,7/13/2012,,,
KYAK,KYAK,,,,
KYAK,KYAK,,,,
KYAK,KYAK,,,,
KYAK,KYAK,,,,
KYAK,KYAK,,,,
KYAK,KYAK,,,,
KYAK,KYAK,,,,
KYAK,KYAK,,,,
KYAK,KYAK,,,,
KYAK,KYAK,,,,
