filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
LAWS,LAWS,1/31/2013,50048,16351,3.060853
LAWS,LAWS,1/15/2013,50640,27108,1.868083
LAWS,LAWS,12/31/2012,59953,20622,2.907235
LAWS,LAWS,12/14/2012,67933,17856,3.804491
LAWS,LAWS,11/30/2012,73642,16015,4.598314
LAWS,LAWS,11/15/2012,81995,23940,3.425021
LAWS,LAWS,10/31/2012,131448,74368,1.767534
LAWS,LAWS,10/15/2012,118442,18005,6.578284
LAWS,LAWS,9/28/2012,101237,69056,1.466013
LAWS,LAWS,9/14/2012,91848,53592,1.713838
LAWS,LAWS,8/31/2012,93874,62579,1.500088
LAWS,LAWS,8/15/2012,68728,21381,3.214443
LAWS,LAWS,7/31/2012,81946,25886,3.165649
LAWS,LAWS,7/13/2012,91637,36879,2.484802
LAWS,LAWS,6/29/2012,97519,117424,1.000000
LAWS,LAWS,6/15/2012,237379,46299,5.127087
LAWS,LAWS,5/31/2012,187234,46888,3.993218
LAWS,LAWS,5/15/2012,153409,62082,2.471071
LAWS,LAWS,4/30/2012,130138,10625,12.248282
LAWS,LAWS,4/13/2012,116419,21627,5.383040
LAWS,LAWS,3/30/2012,94057,14124,6.659374
LAWS,LAWS,3/15/2012,95588,19649,4.864777
LAWS,LAWS,2/29/2012,83382,15365,5.426749
LAWS,LAWS,2/15/2012,80412,24387,3.297331
