filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
LIFE,LIFE,1/31/2013,5074660,3677958,1.379749
LIFE,LIFE,1/15/2013,9151011,1894001,4.831577
LIFE,LIFE,12/31/2012,8544834,2732877,3.126681
LIFE,LIFE,12/14/2012,8836850,1427995,6.188292
LIFE,LIFE,11/30/2012,8656735,1060850,8.160188
LIFE,LIFE,11/15/2012,8226769,1400482,5.874241
LIFE,LIFE,10/31/2012,8864021,1184219,7.485120
LIFE,LIFE,10/15/2012,8075911,997706,8.094480
LIFE,LIFE,9/28/2012,8425753,1742498,4.835445
LIFE,LIFE,9/14/2012,9623840,2211168,4.352378
LIFE,LIFE,8/31/2012,9440054,1429204,6.605113
LIFE,LIFE,8/15/2012,9003677,1571782,5.728324
LIFE,LIFE,7/31/2012,8479874,1331981,6.366363
LIFE,LIFE,7/13/2012,8348456,1839357,4.538790
LIFE,LIFE,6/29/2012,8665380,1648108,5.257774
LIFE,LIFE,6/15/2012,7410757,1614225,4.590907
LIFE,LIFE,5/31/2012,7467790,1301646,5.737190
LIFE,LIFE,5/15/2012,7136845,1253158,5.695088
LIFE,LIFE,4/30/2012,6602368,1568051,4.210557
LIFE,LIFE,4/13/2012,5442425,1508596,3.607609
LIFE,LIFE,3/30/2012,5935399,1519119,3.907132
LIFE,LIFE,3/15/2012,5989821,1590572,3.765828
LIFE,LIFE,2/29/2012,5586997,2625589,2.127902
LIFE,LIFE,2/15/2012,4391100,2036401,2.156304
