filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
LINC,LINC,1/31/2013,879963,67302,13.074842
LINC,LINC,1/15/2013,904904,113949,7.941307
LINC,LINC,12/31/2012,893018,154953,5.763154
LINC,LINC,12/14/2012,944235,108612,8.693653
LINC,LINC,11/30/2012,1238788,151322,8.186437
LINC,LINC,11/15/2012,1042142,95681,10.891839
LINC,LINC,10/31/2012,943960,81945,11.519434
LINC,LINC,10/15/2012,980618,116630,8.407940
LINC,LINC,9/28/2012,1058993,122219,8.664717
LINC,LINC,9/14/2012,1218188,116230,10.480840
LINC,LINC,8/31/2012,1204590,96256,12.514441
LINC,LINC,8/15/2012,1163995,181288,6.420695
LINC,LINC,7/31/2012,947045,126190,7.504913
LINC,LINC,7/13/2012,902754,86453,10.442136
LINC,LINC,6/29/2012,946540,110510,8.565198
LINC,LINC,6/15/2012,946779,122328,7.739675
LINC,LINC,5/31/2012,918784,146018,6.292265
LINC,LINC,5/15/2012,880633,149854,5.876607
LINC,LINC,4/30/2012,886968,121557,7.296725
LINC,LINC,4/13/2012,874961,150477,5.814583
LINC,LINC,3/30/2012,861926,163000,5.287890
LINC,LINC,3/15/2012,835696,186061,4.491516
LINC,LINC,2/29/2012,738040,99229,7.437745
LINC,LINC,2/15/2012,833034,94744,8.792472
