filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
LODE,LODE,1/31/2013,969046,238924,4.055876
LODE,LODE,1/15/2013,743755,195261,3.809030
LODE,LODE,12/31/2012,746670,142301,5.247117
LODE,LODE,12/14/2012,777347,161097,4.825335
LODE,LODE,11/30/2012,1455729,145934,9.975256
LODE,LODE,11/15/2012,839284,272700,3.077682
LODE,LODE,10/31/2012,620692,200715,3.092405
LODE,LODE,10/15/2012,343054,299534,1.145292
LODE,LODE,9/28/2012,317728,348075,1.000000
LODE,LODE,9/14/2012,262046,136855,1.914771
LODE,LODE,8/31/2012,257400,120490,2.136277
LODE,LODE,8/15/2012,280654,278447,1.007926
LODE,LODE,7/31/2012,366107,202461,1.808284
LODE,LODE,7/13/2012,471187,623864,1.000000
LODE,LODE,6/29/2012,201899,134825,1.497489
LODE,LODE,6/15/2012,190349,225508,1.000000
LODE,LODE,5/31/2012,201741,241884,1.000000
LODE,LODE,5/15/2012,130183,86893,1.498199
LODE,LODE,4/30/2012,133503,71049,1.879027
LODE,LODE,4/13/2012,109529,110084,1.000000
LODE,LODE,3/30/2012,65276,104896,1.000000
LODE,LODE,3/15/2012,65160,88256,1.000000
LODE,LODE,2/29/2012,57037,155319,1.000000
LODE,LODE,2/15/2012,53934,266524,1.000000
