filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
LPNT,LPNT,1/31/2013,1352035,311779,4.336517
LPNT,LPNT,1/15/2013,1740778,491495,3.541802
LPNT,LPNT,12/31/2012,2347870,359563,6.529788
LPNT,LPNT,12/14/2012,2247171,372235,6.036969
LPNT,LPNT,11/30/2012,2398508,531907,4.509262
LPNT,LPNT,11/15/2012,2517433,463602,5.430160
LPNT,LPNT,10/31/2012,2204651,487991,4.517811
LPNT,LPNT,10/15/2012,2821563,265090,10.643793
LPNT,LPNT,9/28/2012,2832897,179265,15.802845
LPNT,LPNT,9/14/2012,2894558,194906,14.851046
LPNT,LPNT,8/31/2012,2801672,229208,12.223273
LPNT,LPNT,8/15/2012,2892539,173651,16.657197
LPNT,LPNT,7/31/2012,2728912,254822,10.709091
LPNT,LPNT,7/13/2012,2751141,339618,8.100693
LPNT,LPNT,6/29/2012,3001092,490644,6.116639
LPNT,LPNT,6/15/2012,3201293,253256,12.640542
LPNT,LPNT,5/31/2012,3388332,281646,12.030464
LPNT,LPNT,5/15/2012,3448599,300097,11.491614
LPNT,LPNT,4/30/2012,3552657,248801,14.279111
LPNT,LPNT,4/13/2012,3455098,213680,16.169496
LPNT,LPNT,3/30/2012,3283241,290848,11.288512
LPNT,LPNT,3/15/2012,3525000,332544,10.600101
LPNT,LPNT,2/29/2012,3601710,570127,6.317382
LPNT,LPNT,2/15/2012,3510565,357142,9.829606
