filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MACK,MACK,1/31/2013,3605567,215601,16.723332
MACK,MACK,1/15/2013,3774882,221047,17.077282
MACK,MACK,12/31/2012,3935441,321465,12.242207
MACK,MACK,12/14/2012,4184145,534484,7.828382
MACK,MACK,11/30/2012,3952050,1184666,3.336004
MACK,MACK,11/15/2012,3581198,311157,11.509296
MACK,MACK,10/31/2012,3306586,188920,17.502573
MACK,MACK,10/15/2012,3272865,516921,6.331461
MACK,MACK,9/28/2012,3059927,1718705,1.780368
MACK,MACK,9/14/2012,2414700,136766,17.655704
MACK,MACK,8/31/2012,2034642,81927,24.834816
MACK,MACK,8/15/2012,1946821,62992,30.905845
MACK,MACK,7/31/2012,1796981,207410,8.663907
MACK,MACK,7/13/2012,1766321,56221,31.417460
MACK,MACK,6/29/2012,1664124,297473,5.594202
MACK,MACK,6/15/2012,1105109,77638,14.234125
MACK,MACK,5/31/2012,919079,131427,6.993076
MACK,MACK,5/15/2012,277566,78063,3.555667
MACK,MACK,4/30/2012,9098,154707,1.000000
MACK,MACK,4/13/2012,5861,160043,1.000000
MACK,MACK,3/30/2012,300,340071,1.000000
MACK,MACK,3/15/2012,,,
MACK,MACK,2/29/2012,,,
MACK,MACK,2/15/2012,,,
