filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MAYS,MAYS,1/31/2013,1918,65,29.507692
MAYS,MAYS,1/15/2013,1904,100,19.040000
MAYS,MAYS,12/31/2012,1904,12,158.666667
MAYS,MAYS,12/14/2012,1904,199,9.567839
MAYS,MAYS,11/30/2012,1925,58,33.189655
MAYS,MAYS,11/15/2012,1853,5,370.600000
MAYS,MAYS,10/31/2012,1858,163,11.398773
MAYS,MAYS,10/15/2012,1684,81,20.790123
MAYS,MAYS,9/28/2012,2007,,
MAYS,MAYS,9/14/2012,1975,446,4.428251
MAYS,MAYS,8/31/2012,2192,220,9.963636
MAYS,MAYS,8/15/2012,2192,618,3.546926
MAYS,MAYS,7/31/2012,2192,114,19.228070
MAYS,MAYS,7/13/2012,2698,461,5.852495
MAYS,MAYS,6/29/2012,2017,989,2.039434
MAYS,MAYS,6/15/2012,2017,313,6.444089
MAYS,MAYS,5/31/2012,1766,1,1766.000000
MAYS,MAYS,5/15/2012,1782,,
MAYS,MAYS,4/30/2012,1802,112,16.089286
MAYS,MAYS,4/13/2012,1642,304,5.401316
MAYS,MAYS,3/30/2012,2012,398,5.055276
MAYS,MAYS,3/15/2012,3587,1486,2.413863
MAYS,MAYS,2/29/2012,2091,2003,1.043934
MAYS,MAYS,2/15/2012,2336,2093,1.116101
