filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MCRI,MCRI,1/31/2013,149438,14357,10.408720
MCRI,MCRI,1/15/2013,150047,33158,4.525213
MCRI,MCRI,12/31/2012,153252,47157,3.249825
MCRI,MCRI,12/14/2012,185638,12687,14.632143
MCRI,MCRI,11/30/2012,209458,15417,13.586171
MCRI,MCRI,11/15/2012,219152,20613,10.631737
MCRI,MCRI,10/31/2012,218200,20417,10.687172
MCRI,MCRI,10/15/2012,237929,12110,19.647316
MCRI,MCRI,9/28/2012,245302,51252,4.786194
MCRI,MCRI,9/14/2012,284001,27666,10.265344
MCRI,MCRI,8/31/2012,260396,17575,14.816273
MCRI,MCRI,8/15/2012,226501,23402,9.678703
MCRI,MCRI,7/31/2012,243199,26225,9.273556
MCRI,MCRI,7/13/2012,250950,43399,5.782391
MCRI,MCRI,6/29/2012,276521,66869,4.135264
MCRI,MCRI,6/15/2012,306903,30024,10.221922
MCRI,MCRI,5/31/2012,290374,18971,15.306204
MCRI,MCRI,5/15/2012,274088,19905,13.769807
MCRI,MCRI,4/30/2012,251434,24176,10.400149
MCRI,MCRI,4/13/2012,238802,29051,8.220096
MCRI,MCRI,3/30/2012,226131,26578,8.508202
MCRI,MCRI,3/15/2012,239594,27239,8.795991
MCRI,MCRI,2/29/2012,230189,18913,12.170941
MCRI,MCRI,2/15/2012,223878,24742,9.048501
