filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MNST,MNST,1/31/2013,5183636,2173182,2.385275
MNST,MNST,1/15/2013,4493711,2000065,2.246782
MNST,MNST,12/31/2012,4344126,1396584,3.110537
MNST,MNST,12/14/2012,4808251,2273786,2.114645
MNST,MNST,11/30/2012,4839656,3044578,1.589598
MNST,MNST,11/15/2012,4115343,2887530,1.425212
MNST,MNST,10/31/2012,3563453,7456595,1.000000
MNST,MNST,10/15/2012,3424743,2195530,1.559871
MNST,MNST,9/28/2012,4321488,2280357,1.895093
MNST,MNST,9/14/2012,4882747,3084036,1.583233
MNST,MNST,8/31/2012,4915620,2392280,2.054785
MNST,MNST,8/15/2012,3298073,5039539,1.000000
MNST,MNST,7/31/2012,1935856,2294591,1.000000
MNST,MNST,7/13/2012,1848862,1562560,1.183226
MNST,MNST,6/29/2012,1419341,6008643,1.000000
MNST,MNST,6/15/2012,1553655,1570086,1.000000
MNST,MNST,5/31/2012,1767033,1561029,1.131967
MNST,MNST,5/15/2012,1992000,3184208,1.000000
MNST,MNST,4/30/2012,1564666,2715284,1.000000
MNST,MNST,4/13/2012,1549569,1121594,1.381577
MNST,MNST,3/30/2012,1709031,867444,1.970192
MNST,MNST,3/15/2012,2971878,1290724,2.302489
MNST,MNST,2/29/2012,2949139,1799528,1.638840
MNST,MNST,2/15/2012,3426120,1449778,2.363203
