filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MSG,MSG,1/31/2013,659876,302195,2.183610
MSG,MSG,1/15/2013,726669,308907,2.352388
MSG,MSG,12/31/2012,588254,228909,2.569816
MSG,MSG,12/14/2012,500565,336634,1.486971
MSG,MSG,11/30/2012,504812,161593,3.123972
MSG,MSG,11/15/2012,630603,440562,1.431360
MSG,MSG,10/31/2012,500326,260756,1.918752
MSG,MSG,10/15/2012,500425,204656,2.445201
MSG,MSG,9/28/2012,470970,221444,2.126813
MSG,MSG,9/14/2012,515633,190210,2.710862
MSG,MSG,8/31/2012,595307,346229,1.719402
MSG,MSG,8/15/2012,696541,157461,4.423578
MSG,MSG,7/31/2012,818289,209689,3.902394
MSG,MSG,7/13/2012,888079,181894,4.882399
MSG,MSG,6/29/2012,953317,207353,4.597556
MSG,MSG,6/15/2012,1067193,220391,4.842271
MSG,MSG,5/31/2012,1168648,316871,3.688088
MSG,MSG,5/15/2012,1519891,317319,4.789789
MSG,MSG,4/30/2012,1464741,281768,5.198394
MSG,MSG,4/13/2012,1458317,352034,4.142546
MSG,MSG,3/30/2012,1147285,360949,3.178524
MSG,MSG,3/15/2012,1096020,409663,2.675419
MSG,MSG,2/29/2012,992251,511866,1.938498
MSG,MSG,2/15/2012,651578,392083,1.661837
