filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MXC,MXC,1/31/2013,9621,8759,1.098413
MXC,MXC,1/15/2013,9004,3886,2.317036
MXC,MXC,12/31/2012,8462,4774,1.772518
MXC,MXC,12/14/2012,9597,2315,4.145572
MXC,MXC,11/30/2012,8179,3804,2.150105
MXC,MXC,11/15/2012,7578,1599,4.739212
MXC,MXC,10/31/2012,7992,2341,3.413926
MXC,MXC,10/15/2012,9817,4049,2.424549
MXC,MXC,9/28/2012,9157,7649,1.197150
MXC,MXC,9/14/2012,10496,3981,2.636523
MXC,MXC,8/31/2012,8739,1751,4.990862
MXC,MXC,8/15/2012,9272,5975,1.551799
MXC,MXC,7/31/2012,9388,4545,2.065567
MXC,MXC,7/13/2012,9923,7239,1.370769
MXC,MXC,6/29/2012,9603,2151,4.464435
MXC,MXC,6/15/2012,11076,3895,2.843646
MXC,MXC,5/31/2012,9591,7365,1.302240
MXC,MXC,5/15/2012,9823,4417,2.223908
MXC,MXC,4/30/2012,11427,6722,1.699940
MXC,MXC,4/13/2012,18475,5253,3.517038
MXC,MXC,3/30/2012,25476,4878,5.222632
MXC,MXC,3/15/2012,34506,15575,2.215474
MXC,MXC,2/29/2012,40541,49181,1.000000
MXC,MXC,2/15/2012,6522,13520,1.000000
