filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NAVG,NAVG,1/31/2013,143141,37179,3.850050
NAVG,NAVG,1/15/2013,171793,25000,6.871720
NAVG,NAVG,12/31/2012,181041,36965,4.897633
NAVG,NAVG,12/14/2012,220498,26805,8.226003
NAVG,NAVG,11/30/2012,258534,33097,7.811403
NAVG,NAVG,11/15/2012,242625,54123,4.482845
NAVG,NAVG,10/31/2012,222316,31475,7.063257
NAVG,NAVG,10/15/2012,217338,33895,6.412096
NAVG,NAVG,9/28/2012,226624,35168,6.444040
NAVG,NAVG,9/14/2012,276755,29627,9.341310
NAVG,NAVG,8/31/2012,273495,30612,8.934241
NAVG,NAVG,8/15/2012,286932,28213,10.170205
NAVG,NAVG,7/31/2012,303468,24262,12.507955
NAVG,NAVG,7/13/2012,327031,32946,9.926273
NAVG,NAVG,6/29/2012,337216,66297,5.086444
NAVG,NAVG,6/15/2012,425053,33204,12.801259
NAVG,NAVG,5/31/2012,442234,48384,9.140088
NAVG,NAVG,5/15/2012,567913,38744,14.658089
NAVG,NAVG,4/30/2012,600175,29691,20.214038
NAVG,NAVG,4/13/2012,636848,34396,18.515176
NAVG,NAVG,3/30/2012,639977,32296,19.815983
NAVG,NAVG,3/15/2012,649133,23281,27.882522
NAVG,NAVG,2/29/2012,651773,62304,10.461174
NAVG,NAVG,2/15/2012,735600,24373,30.180938
