filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NBTF,NBTF,1/31/2013,510,1607,1.000000
NBTF,NBTF,1/15/2013,692,945,1.000000
NBTF,NBTF,12/31/2012,199,804,1.000000
NBTF,NBTF,12/14/2012,332,1905,1.000000
NBTF,NBTF,11/30/2012,1068,194,5.505155
NBTF,NBTF,11/15/2012,1252,516,2.426357
NBTF,NBTF,10/31/2012,800,959,1.000000
NBTF,NBTF,10/15/2012,1866,0.000000,
NBTF,NBTF,9/28/2012,894,618,1.446602
NBTF,NBTF,9/14/2012,750,353,2.124646
NBTF,NBTF,8/31/2012,440,288,1.527778
NBTF,NBTF,8/15/2012,1214,320,3.793750
NBTF,NBTF,7/31/2012,1839,514,3.577821
NBTF,NBTF,7/13/2012,968,250,3.872000
NBTF,NBTF,6/29/2012,1515,570,2.657895
NBTF,NBTF,6/15/2012,1520,508,2.992126
NBTF,NBTF,5/31/2012,1477,323,4.572755
NBTF,NBTF,5/15/2012,1752,462,3.792208
NBTF,NBTF,4/30/2012,2004,535,3.745794
NBTF,NBTF,4/13/2012,2417,843,2.867141
NBTF,NBTF,3/30/2012,1898,789,2.405577
NBTF,NBTF,3/15/2012,1803,920,1.959783
NBTF,NBTF,2/29/2012,1715,592,2.896959
NBTF,NBTF,2/15/2012,2062,787,2.620076
