filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NMZ,NMZ,1/31/2013,199566,105665,1.888667
NMZ,NMZ,1/15/2013,230204,117932,1.952006
NMZ,NMZ,12/31/2012,121686,139582,1.000000
NMZ,NMZ,12/14/2012,64166,135544,1.000000
NMZ,NMZ,11/30/2012,28634,112866,1.000000
NMZ,NMZ,11/15/2012,24686,118022,1.000000
NMZ,NMZ,10/31/2012,87342,83364,1.047718
NMZ,NMZ,10/15/2012,49388,76550,1.000000
NMZ,NMZ,9/28/2012,51873,77338,1.000000
NMZ,NMZ,9/14/2012,39363,74319,1.000000
NMZ,NMZ,8/31/2012,41066,70151,1.000000
NMZ,NMZ,8/15/2012,51224,71686,1.000000
NMZ,NMZ,7/31/2012,17721,79458,1.000000
NMZ,NMZ,7/13/2012,19313,66165,1.000000
NMZ,NMZ,6/29/2012,8176,46842,1.000000
NMZ,NMZ,6/15/2012,29302,60645,1.000000
NMZ,NMZ,5/31/2012,74308,37173,1.998978
NMZ,NMZ,5/15/2012,79383,57642,1.377173
NMZ,NMZ,4/30/2012,19318,47275,1.000000
NMZ,NMZ,4/13/2012,35184,59051,1.000000
NMZ,NMZ,3/30/2012,41460,92229,1.000000
NMZ,NMZ,3/15/2012,25309,58054,1.000000
NMZ,NMZ,2/29/2012,18620,75380,1.000000
NMZ,NMZ,2/15/2012,21349,82423,1.000000
