filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NOM,NOM,1/31/2013,799,2478,1.000000
NOM,NOM,1/15/2013,2247,4533,1.000000
NOM,NOM,12/31/2012,3537,4916,1.000000
NOM,NOM,12/14/2012,763,2989,1.000000
NOM,NOM,11/30/2012,2278,1142,1.994746
NOM,NOM,11/15/2012,2691,2119,1.269939
NOM,NOM,10/31/2012,794,1757,1.000000
NOM,NOM,10/15/2012,961,708,1.357345
NOM,NOM,9/28/2012,604,1818,1.000000
NOM,NOM,9/14/2012,1565,1511,1.035738
NOM,NOM,8/31/2012,488,1356,1.000000
NOM,NOM,8/15/2012,1155,1604,1.000000
NOM,NOM,7/31/2012,533,3396,1.000000
NOM,NOM,7/13/2012,1860,1565,1.188498
NOM,NOM,6/29/2012,2167,3589,1.000000
NOM,NOM,6/15/2012,2331,2982,1.000000
NOM,NOM,5/31/2012,6708,5432,1.234904
NOM,NOM,5/15/2012,632,2036,1.000000
NOM,NOM,4/30/2012,924,1360,1.000000
NOM,NOM,4/13/2012,430,1845,1.000000
NOM,NOM,3/30/2012,3048,2179,1.398807
NOM,NOM,3/15/2012,959,2356,1.000000
NOM,NOM,2/29/2012,331,1277,1.000000
NOM,NOM,2/15/2012,399,819,1.000000
