filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NPSP,NPSP,1/31/2013,9966826,1144728,8.706720
NPSP,NPSP,1/15/2013,9660529,2117035,4.563235
NPSP,NPSP,12/31/2012,10281157,2073078,4.959368
NPSP,NPSP,12/14/2012,8566761,1116928,7.669931
NPSP,NPSP,11/30/2012,8826498,1134374,7.780942
NPSP,NPSP,11/15/2012,8131621,1031386,7.884168
NPSP,NPSP,10/31/2012,7675155,1958345,3.919205
NPSP,NPSP,10/15/2012,6656665,2563743,2.596463
NPSP,NPSP,9/28/2012,6630508,1606590,4.127069
NPSP,NPSP,9/14/2012,6914421,1046112,6.609637
NPSP,NPSP,8/31/2012,6354247,562710,11.292223
NPSP,NPSP,8/15/2012,6624130,784904,8.439414
NPSP,NPSP,7/31/2012,6450648,638836,10.097502
NPSP,NPSP,7/13/2012,6464387,916435,7.053841
NPSP,NPSP,6/29/2012,6112013,1283998,4.760142
NPSP,NPSP,6/15/2012,5740900,1254925,4.574696
NPSP,NPSP,5/31/2012,5582537,855051,6.528894
NPSP,NPSP,5/15/2012,5243177,596818,8.785219
NPSP,NPSP,4/30/2012,4939112,433592,11.391151
NPSP,NPSP,4/13/2012,4711607,430475,10.945135
NPSP,NPSP,3/30/2012,4452503,540959,8.230759
NPSP,NPSP,3/15/2012,5058133,516343,9.796072
NPSP,NPSP,2/29/2012,5115287,864726,5.915500
NPSP,NPSP,2/15/2012,4886628,893343,5.470047
