filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NTSC,NTSC,1/31/2013,3610,5826,1.000000
NTSC,NTSC,1/15/2013,4235,10541,1.000000
NTSC,NTSC,12/31/2012,4695,7578,1.000000
NTSC,NTSC,12/14/2012,6109,7177,1.000000
NTSC,NTSC,11/30/2012,4272,2392,1.785953
NTSC,NTSC,11/15/2012,3673,6731,1.000000
NTSC,NTSC,10/31/2012,4789,6119,1.000000
NTSC,NTSC,10/15/2012,3514,7672,1.000000
NTSC,NTSC,9/28/2012,6471,8464,1.000000
NTSC,NTSC,9/14/2012,8226,8590,1.000000
NTSC,NTSC,8/31/2012,5871,6576,1.000000
NTSC,NTSC,8/15/2012,4133,5956,1.000000
NTSC,NTSC,7/31/2012,2652,6834,1.000000
NTSC,NTSC,7/13/2012,5145,5527,1.000000
NTSC,NTSC,6/29/2012,5460,8374,1.000000
NTSC,NTSC,6/15/2012,4598,5799,1.000000
NTSC,NTSC,5/31/2012,4383,8873,1.000000
NTSC,NTSC,5/15/2012,3166,2995,1.057095
NTSC,NTSC,4/30/2012,4317,5877,1.000000
NTSC,NTSC,4/13/2012,4155,3337,1.245130
NTSC,NTSC,3/30/2012,3879,9268,1.000000
NTSC,NTSC,3/15/2012,2672,7820,1.000000
NTSC,NTSC,2/29/2012,3522,2767,1.272859
NTSC,NTSC,2/15/2012,2507,5309,1.000000
