filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NYMX,NYMX,1/31/2013,789397,38281,20.621118
NYMX,NYMX,1/15/2013,797321,19605,40.669268
NYMX,NYMX,12/31/2012,797528,25279,31.549033
NYMX,NYMX,12/14/2012,856712,22880,37.443706
NYMX,NYMX,11/30/2012,831958,56092,14.832026
NYMX,NYMX,11/15/2012,853253,46963,18.168622
NYMX,NYMX,10/31/2012,849240,47925,17.720188
NYMX,NYMX,10/15/2012,852728,20901,40.798431
NYMX,NYMX,9/28/2012,864038,30174,28.635183
NYMX,NYMX,9/14/2012,879774,25147,34.985247
NYMX,NYMX,8/31/2012,888801,22083,40.248200
NYMX,NYMX,8/15/2012,906296,45776,19.798497
NYMX,NYMX,7/31/2012,940929,56458,16.666000
NYMX,NYMX,7/13/2012,971566,96666,10.050752
NYMX,NYMX,6/29/2012,1002765,362472,2.766462
NYMX,NYMX,6/15/2012,1658011,110311,15.030332
NYMX,NYMX,5/31/2012,1436094,48942,29.342773
NYMX,NYMX,5/15/2012,1366464,61374,22.264542
NYMX,NYMX,4/30/2012,1318294,53982,24.420992
NYMX,NYMX,4/13/2012,1276671,52313,24.404469
NYMX,NYMX,3/30/2012,1226070,52384,23.405429
NYMX,NYMX,3/15/2012,1257455,60970,20.624159
NYMX,NYMX,2/29/2012,1229101,31541,38.968359
NYMX,NYMX,2/15/2012,1266825,62083,20.405344
