filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NYNY,NYNY,1/31/2013,741936,24477,30.311558
NYNY,NYNY,1/15/2013,741445,18810,39.417597
NYNY,NYNY,12/31/2012,735305,53902,13.641516
NYNY,NYNY,12/14/2012,684481,18997,36.031005
NYNY,NYNY,11/30/2012,689490,13704,50.313047
NYNY,NYNY,11/15/2012,692408,18549,37.328589
NYNY,NYNY,10/31/2012,716995,14292,50.167576
NYNY,NYNY,10/15/2012,734903,19235,38.206551
NYNY,NYNY,9/28/2012,737805,15929,46.318350
NYNY,NYNY,9/14/2012,734416,11783,62.328439
NYNY,NYNY,8/31/2012,665619,20754,32.071842
NYNY,NYNY,8/15/2012,648224,8482,76.423485
NYNY,NYNY,7/31/2012,649296,6165,105.319708
NYNY,NYNY,7/13/2012,648487,6899,93.997246
NYNY,NYNY,6/29/2012,652830,12563,51.964499
NYNY,NYNY,6/15/2012,653059,12038,54.249792
NYNY,NYNY,5/31/2012,649751,12679,51.246234
NYNY,NYNY,5/15/2012,652715,17686,36.905745
NYNY,NYNY,4/30/2012,651437,24731,26.340908
NYNY,NYNY,4/13/2012,650991,17806,36.560204
NYNY,NYNY,3/30/2012,652701,19107,34.160308
NYNY,NYNY,3/15/2012,654749,34024,19.243740
NYNY,NYNY,2/29/2012,635340,33353,19.048961
NYNY,NYNY,2/15/2012,590925,29700,19.896465
