filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
OMAB,OMAB,1/31/2013,9919,21759,1.000000
OMAB,OMAB,1/15/2013,17779,35125,1.000000
OMAB,OMAB,12/31/2012,12448,22313,1.000000
OMAB,OMAB,12/14/2012,106538,16153,6.595555
OMAB,OMAB,11/30/2012,53302,10935,4.874440
OMAB,OMAB,11/15/2012,24894,18300,1.360328
OMAB,OMAB,10/31/2012,69775,28899,2.414443
OMAB,OMAB,10/15/2012,84354,19332,4.363439
OMAB,OMAB,9/28/2012,6897,19577,1.000000
OMAB,OMAB,9/14/2012,5387,4233,1.272620
OMAB,OMAB,8/31/2012,6612,2213,2.987799
OMAB,OMAB,8/15/2012,8001,18843,1.000000
OMAB,OMAB,7/31/2012,11077,19006,1.000000
OMAB,OMAB,7/13/2012,21578,5847,3.690440
OMAB,OMAB,6/29/2012,49017,21003,2.333809
OMAB,OMAB,6/15/2012,51934,25001,2.077277
OMAB,OMAB,5/31/2012,14580,19538,1.000000
OMAB,OMAB,5/15/2012,10950,16514,1.000000
OMAB,OMAB,4/30/2012,15048,29887,1.000000
OMAB,OMAB,4/13/2012,9741,6266,1.554580
OMAB,OMAB,3/30/2012,88658,41381,2.142481
OMAB,OMAB,3/15/2012,22990,45090,1.000000
OMAB,OMAB,2/29/2012,19352,12036,1.607843
OMAB,OMAB,2/15/2012,10985,7660,1.434073
