filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
OTEX,OTEX,1/31/2013,7641189,350706,21.788019
OTEX,OTEX,1/15/2013,7318161,205709,35.575308
OTEX,OTEX,12/31/2012,7152675,101306,70.604653
OTEX,OTEX,12/14/2012,7093897,185294,38.284548
OTEX,OTEX,11/30/2012,7404718,267485,27.682741
OTEX,OTEX,11/15/2012,8420028,329709,25.537756
OTEX,OTEX,10/31/2012,8701941,216889,40.121634
OTEX,OTEX,10/15/2012,8757666,169286,51.732961
OTEX,OTEX,9/28/2012,8439250,237145,35.586877
OTEX,OTEX,9/14/2012,8396975,222066,37.812970
OTEX,OTEX,8/31/2012,8673365,285835,30.343957
OTEX,OTEX,8/15/2012,9058492,529342,17.112740
OTEX,OTEX,7/31/2012,9558794,226759,42.153978
OTEX,OTEX,7/13/2012,9345169,347614,26.883753
OTEX,OTEX,6/29/2012,9219818,364312,25.307478
OTEX,OTEX,6/15/2012,8692817,419673,20.713310
OTEX,OTEX,5/31/2012,8742697,440252,19.858392
OTEX,OTEX,5/15/2012,8407753,1149071,7.317000
OTEX,OTEX,4/30/2012,7119887,605746,11.753915
OTEX,OTEX,4/13/2012,6105193,276381,22.089771
OTEX,OTEX,3/30/2012,6013769,260730,23.065121
OTEX,OTEX,3/15/2012,5849868,238093,24.569677
OTEX,OTEX,2/29/2012,6025336,344421,17.494102
OTEX,OTEX,2/15/2012,6746549,983129,6.862323
