filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
OVBC,OVBC,1/31/2013,3255,2560,1.271484
OVBC,OVBC,1/15/2013,2932,5424,1.000000
OVBC,OVBC,12/31/2012,1547,1035,1.494686
OVBC,OVBC,12/14/2012,1387,2727,1.000000
OVBC,OVBC,11/30/2012,792,828,1.000000
OVBC,OVBC,11/15/2012,682,2494,1.000000
OVBC,OVBC,10/31/2012,2637,1493,1.766242
OVBC,OVBC,10/15/2012,576,976,1.000000
OVBC,OVBC,9/28/2012,1330,1520,1.000000
OVBC,OVBC,9/14/2012,656,2015,1.000000
OVBC,OVBC,8/31/2012,710,1472,1.000000
OVBC,OVBC,8/15/2012,837,2103,1.000000
OVBC,OVBC,7/31/2012,1219,1004,1.214143
OVBC,OVBC,7/13/2012,856,809,1.058096
OVBC,OVBC,6/29/2012,406,808,1.000000
OVBC,OVBC,6/15/2012,1308,1771,1.000000
OVBC,OVBC,5/31/2012,2127,983,2.163784
OVBC,OVBC,5/15/2012,2048,2282,1.000000
OVBC,OVBC,4/30/2012,2025,1325,1.528302
OVBC,OVBC,4/13/2012,692,1133,1.000000
OVBC,OVBC,3/30/2012,441,896,1.000000
OVBC,OVBC,3/15/2012,520,3073,1.000000
OVBC,OVBC,2/29/2012,392,2541,1.000000
OVBC,OVBC,2/15/2012,1736,3755,1.000000
