filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PCO,PCO,1/31/2013,4018955,305923,13.137146
PCO,PCO,1/15/2013,4187490,262643,15.943657
PCO,PCO,12/31/2012,4293601,502055,8.552053
PCO,PCO,12/14/2012,5013366,346537,14.467044
PCO,PCO,11/30/2012,5475623,707851,7.735559
PCO,PCO,11/15/2012,4779351,418319,11.425135
PCO,PCO,10/31/2012,4678863,128680,36.360452
PCO,PCO,10/15/2012,4665840,251139,18.578715
PCO,PCO,9/28/2012,4963502,733558,6.766339
PCO,PCO,9/14/2012,5657851,584897,9.673243
PCO,PCO,8/31/2012,5881302,214677,27.396051
PCO,PCO,8/15/2012,6148373,331247,18.561294
PCO,PCO,7/31/2012,6291528,734521,8.565484
PCO,PCO,7/13/2012,6465688,526214,12.287184
PCO,PCO,6/29/2012,6721465,944974,7.112857
PCO,PCO,6/15/2012,6646310,454622,14.619420
PCO,PCO,5/31/2012,7021404,786507,8.927326
PCO,PCO,5/15/2012,5603102,662741,8.454437
PCO,PCO,4/30/2012,5197286,2712021,1.916389
PCO,PCO,4/13/2012,5122231,568578,9.008845
PCO,PCO,3/30/2012,4501237,700578,6.425033
PCO,PCO,3/15/2012,4740753,506674,9.356614
PCO,PCO,2/29/2012,4415115,240727,18.340755
PCO,PCO,2/15/2012,4518560,281952,16.025990
